row_id,shape_name,shape_code,suburb_name,state_short,state_long
165,Belmont North,10165,Belmont North,NSW,New South Wales
166,Belmont South,10166,Belmont South,NSW,New South Wales
167,Belmore,10167,Belmore,NSW,New South Wales
168,Belmore River,10168,Belmore River,NSW,New South Wales
169,Belrose,10169,Belrose,NSW,New South Wales
170,Bemboka,10170,Bemboka,NSW,New South Wales
171,Ben Lomond (NSW),10171,Ben Lomond ,NSW,New South Wales
172,Bendalong,10172,Bendalong,NSW,New South Wales
173,Bendemeer,10173,Bendemeer,NSW,New South Wales
174,Bendick Murrell,10174,Bendick Murrell,NSW,New South Wales
175,Bendolba,10175,Bendolba,NSW,New South Wales
176,Benerembah,10176,Benerembah,NSW,New South Wales
177,Beni,10177,Beni,NSW,New South Wales
178,Bensville,10178,Bensville,NSW,New South Wales
179,Bentley (NSW),10179,Bentley ,NSW,New South Wales
180,Berala,10180,Berala,NSW,New South Wales
181,Berambing,10181,Berambing,NSW,New South Wales
182,Beresfield,10182,Beresfield,NSW,New South Wales
183,Bergalia,10183,Bergalia,NSW,New South Wales
184,Berkeley,10184,Berkeley,NSW,New South Wales
185,Berkeley Vale,10185,Berkeley Vale,NSW,New South Wales
186,Berkshire Park,10186,Berkshire Park,NSW,New South Wales
187,Bermagui,10187,Bermagui,NSW,New South Wales
188,Berowra,10188,Berowra,NSW,New South Wales
189,Berowra Creek,10189,Berowra Creek,NSW,New South Wales
190,Berowra Heights,10190,Berowra Heights,NSW,New South Wales
191,Berrambool,10191,Berrambool,NSW,New South Wales
192,Berrara,10192,Berrara,NSW,New South Wales
193,Berridale,10193,Berridale,NSW,New South Wales
194,Berrigan,10194,Berrigan,NSW,New South Wales
195,Berrilee,10195,Berrilee,NSW,New South Wales
196,Berrima,10196,Berrima,NSW,New South Wales
197,Berry,10197,Berry,NSW,New South Wales
198,Bethungra,10198,Bethungra,NSW,New South Wales
199,Beverley Park,10199,Beverley Park,NSW,New South Wales
200,Beverly Hills,10200,Beverly Hills,NSW,New South Wales
201,Bexhill,10201,Bexhill,NSW,New South Wales
202,Bexley,10202,Bexley,NSW,New South Wales
203,Bexley North,10203,Bexley North,NSW,New South Wales
204,Bibbenluke,10204,Bibbenluke,NSW,New South Wales
205,Biddon,10205,Biddon,NSW,New South Wales
206,Bidwill (NSW),10206,Bidwill ,NSW,New South Wales
207,Big Springs,10207,Big Springs,NSW,New South Wales
208,Bigga,10208,Bigga,NSW,New South Wales
209,Bilambil,10209,Bilambil,NSW,New South Wales
210,Bilambil Heights,10210,Bilambil Heights,NSW,New South Wales
211,Bilbul,10211,Bilbul,NSW,New South Wales
212,Bilgola,10212,Bilgola,NSW,New South Wales
213,Billinudgel,10213,Billinudgel,NSW,New South Wales
214,Billywillinga,10214,Billywillinga,NSW,New South Wales
215,Bilpin,10215,Bilpin,NSW,New South Wales
216,Binalong,10216,Binalong,NSW,New South Wales
217,Binda,10217,Binda,NSW,New South Wales
218,Bingara,10218,Bingara,NSW,New South Wales
219,Bingie,10219,Bingie,NSW,New South Wales
220,Biniguy,10220,Biniguy,NSW,New South Wales
221,Binjura,10221,Binjura,NSW,New South Wales
222,Binna Burra (NSW),10222,Binna Burra ,NSW,New South Wales
223,Binnaway,10223,Binnaway,NSW,New South Wales
224,Binya,10224,Binya,NSW,New South Wales
225,Birchgrove,10225,Birchgrove,NSW,New South Wales
226,Birmingham Gardens,10226,Birmingham Gardens,NSW,New South Wales
227,Birrong,10227,Birrong,NSW,New South Wales
228,Bishops Bridge,10228,Bishops Bridge,NSW,New South Wales
229,Bithramere,10229,Bithramere,NSW,New South Wales
230,Black Head,10230,Black Head,NSW,New South Wales
231,Black Hill (NSW),10231,Black Hill ,NSW,New South Wales
232,Black Mountain (NSW),10232,Black Mountain ,NSW,New South Wales
233,Black Springs (NSW),10233,Black Springs ,NSW,New South Wales
234,Blackalls Park,10234,Blackalls Park,NSW,New South Wales
235,Blackbutt (NSW),10235,Blackbutt ,NSW,New South Wales
236,Blackett,10236,Blackett,NSW,New South Wales
237,Blackheath (NSW),10237,Blackheath ,NSW,New South Wales
238,Blackmans Point,10238,Blackmans Point,NSW,New South Wales
239,Blacksmiths,10239,Blacksmiths,NSW,New South Wales
240,Blacktown,10240,Blacktown,NSW,New South Wales
241,Blackwall (NSW),10241,Blackwall ,NSW,New South Wales
242,Blair Athol (NSW),10242,Blair Athol ,NSW,New South Wales
243,Blairmount,10243,Blairmount,NSW,New South Wales
244,Blakehurst,10244,Blakehurst,NSW,New South Wales
245,Blandford,10245,Blandford,NSW,New South Wales
246,Blaxland (NSW),10246,Blaxland ,NSW,New South Wales
247,Blaxlands Ridge,10247,Blaxlands Ridge,NSW,New South Wales
248,Blayney,10248,Blayney,NSW,New South Wales
249,Bligh Park,10249,Bligh Park,NSW,New South Wales
250,Blighty,10250,Blighty,NSW,New South Wales
251,Blue Bay,10251,Blue Bay,NSW,New South Wales
252,Blue Haven,10252,Blue Haven,NSW,New South Wales
253,Blue Knob,10253,Blue Knob,NSW,New South Wales
254,Blue Mountains National Park,10254,Blue Mountains National Park,NSW,New South Wales
255,Boambee,10255,Boambee,NSW,New South Wales
256,Boambee East,10256,Boambee East,NSW,New South Wales
257,Boat Harbour (Port Stephens - NSW),10257,Boat Harbour ,NSW,New South Wales
258,Bobs Farm,10258,Bobs Farm,NSW,New South Wales
259,Bodalla,10259,Bodalla,NSW,New South Wales
260,Bogan Gate,10260,Bogan Gate,NSW,New South Wales
261,Bogangar,10261,Bogangar,NSW,New South Wales
262,Boggabilla,10262,Boggabilla,NSW,New South Wales
263,Boggabri,10263,Boggabri,NSW,New South Wales
264,Bolton Point,10264,Bolton Point,NSW,New South Wales
265,Bolwarra (NSW),10265,Bolwarra ,NSW,New South Wales
266,Bolwarra Heights,10266,Bolwarra Heights,NSW,New South Wales
267,Bomaderry,10267,Bomaderry,NSW,New South Wales
268,Bombala,10268,Bombala,NSW,New South Wales
269,Bombira,10269,Bombira,NSW,New South Wales
270,Bombo,10270,Bombo,NSW,New South Wales
271,Bombowlee,10271,Bombowlee,NSW,New South Wales
272,Bomen,10272,Bomen,NSW,New South Wales
273,Bomera,10273,Bomera,NSW,New South Wales
274,Bonalbo,10274,Bonalbo,NSW,New South Wales
275,Bondi,10275,Bondi,NSW,New South Wales
276,Bondi Beach,10276,Bondi Beach,NSW,New South Wales
277,Bondi Junction,10277,Bondi Junction,NSW,New South Wales
278,Bonnells Bay,10278,Bonnells Bay,NSW,New South Wales
279,Bonnet Bay,10279,Bonnet Bay,NSW,New South Wales
280,Bonny Hills,10280,Bonny Hills,NSW,New South Wales
281,Bonnyrigg,10281,Bonnyrigg,NSW,New South Wales
282,Bonnyrigg Heights,10282,Bonnyrigg Heights,NSW,New South Wales
283,Bonville,10283,Bonville,NSW,New South Wales
284,Booerie Creek,10284,Booerie Creek,NSW,New South Wales
285,Booker Bay,10285,Booker Bay,NSW,New South Wales
