SSC,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs/No Religious Affiliation
Mount Buffalo,0,0,0,0,0,0,0
Mount Buller,0,45,0,0,0,3,106
Mount Burnett,0,85,0,0,0,0,61
Mount Bute,0,40,0,0,0,0,17
Mount Camel,0,58,0,0,0,0,29
Mount Cameron,0,4,0,0,0,0,0
Mount Clear,27,1658,34,21,0,16,1343
Mount Cole,0,6,0,0,0,0,13
Mount Cole Creek,0,0,0,0,0,0,5
Mount Cottrell,3,320,0,8,0,0,120
Mount Dandenong,23,432,0,0,4,24,606
Mount Doran,0,71,0,0,0,4,32
Mount Dryden,0,3,0,0,0,0,0
Mount Duneed,26,780,7,15,0,19,621
Mount Eccles,0,59,0,0,0,0,31
Mount Egerton,3,277,0,0,0,3,233
Mount Eliza,159,9161,73,23,31,48,7084
Mount Emu,0,21,0,0,0,0,4
Mount Evelyn,88,4480,14,0,0,42,4265
Mount Franklin,0,17,0,0,0,0,52
Mount Glasgow,0,40,0,0,0,0,36
Mount Helen,24,1361,14,16,0,13,1277
Mount Hooghly,0,8,0,0,0,0,5
Mount Lonarch,0,21,0,0,0,0,14
Mount Macedon,17,645,0,0,0,0,559
Mount Major,0,7,0,0,0,0,4
Mount Martha,112,9394,26,17,35,41,7496
Mount Mercer,0,50,0,0,0,0,19
Mount Moriac,0,134,0,0,0,0,88
Mount Napier,0,8,0,0,0,0,4
Mount Pleasant (Vic.),15,994,7,10,0,17,907
Mount Prospect,0,14,0,0,0,0,19
Mount Richmond,0,23,0,0,0,0,14
Mount Rowan,0,184,0,0,0,0,78
Mount Sabine,0,0,0,0,0,0,0
Mount Tassie,0,0,0,0,0,0,0
Mount Taylor,0,142,0,0,0,0,114
Mount Toolebewong,3,38,0,0,0,0,69
Mount Wallace,0,56,0,0,0,0,35
Mount Waverley,2336,15112,1472,495,93,284,11070
Mountain Bay,0,19,0,0,0,0,17
Mountain View (Vic.),0,43,0,4,0,0,25
Moutajup,0,65,0,0,0,0,11
Moyhu,0,231,0,0,0,4,165
Moyreisk,0,12,0,0,0,0,19
Moyston,0,170,0,0,0,4,138
Muckatah,0,117,0,0,0,0,54
Muckleford,0,168,0,0,0,0,199
Muckleford South,3,16,0,0,0,0,20
Mudgegonga,0,110,0,0,0,0,56
Mulgrave (Vic.),1360,10303,700,604,44,281,4567
Mumbannar,0,67,0,0,0,0,40
Mundoona,0,64,0,0,0,0,44
Munro,0,81,0,0,0,0,36
Muntham,0,12,0,0,0,0,14
Murchison (Vic.),5,511,0,6,0,0,284
Murchison East,0,69,0,0,0,0,40
Murchison North,0,94,0,0,0,0,77
Murgheboluc,0,68,0,0,0,0,50
Murmungee,0,34,0,0,0,0,18
Murnungin,0,11,0,0,0,0,0
Murphys Creek (Vic.),0,15,0,0,0,0,23
Murra Warra,0,38,0,0,0,0,20
Murrabit,0,125,0,0,0,0,55
Murrabit West,0,32,0,0,0,0,11
Murrawee,4,92,0,0,0,0,33
Murray-Sunset,0,0,0,0,0,0,3
Murraydale,0,54,0,0,0,0,40
Murrayville,0,147,0,0,0,0,101
Murrindal,0,9,0,0,0,0,5
Murrindindi,0,63,0,0,0,0,30
Murroon,0,49,0,0,0,0,39
Murrumbeena,300,4295,581,107,304,82,3530
Murtoa,5,552,0,0,0,0,242
Musk,0,66,0,3,0,3,59
Musk Vale,5,55,0,0,3,4,59
Muskerry,0,39,0,0,0,0,13
Myall (Buloke - Vic.),0,4,0,0,0,0,9
Myall (Gannawarra - Vic.),0,74,0,0,0,0,34
Myamyn,0,38,0,0,0,0,22
Myers Flat,15,249,0,0,0,4,170
Myola (Vic.),0,26,0,0,0,0,8
Myrniong,0,201,0,0,0,0,165
Myrrhee,0,84,0,0,4,0,53
Myrtle Creek (Vic.),0,24,0,0,0,0,34
Myrtlebank,0,86,0,0,0,0,24
Myrtleford,19,1992,21,3,0,9,816
Mysia,0,25,0,0,0,0,15
Mystic Park,0,94,0,0,0,0,67
Mywee,0,9,0,0,0,0,0
Nagambie,10,1140,8,0,0,0,560
Nalangil,0,46,0,0,0,0,22
Nalinga,0,14,0,0,0,0,9
Nambrok,5,172,0,0,0,3,87
Nandaly,0,20,0,0,0,0,7
Nangana,0,24,0,0,0,0,27
Nangeela,0,11,0,0,0,0,5
Nangiloc,0,67,0,0,0,0,44
Nanneella,7,239,0,0,0,0,109
Nap Nap Marra,0,0,0,0,0,0,0
Napoleons,0,282,0,0,0,5,231
Nar Nar Goon,6,593,0,0,0,3,321
Nar Nar Goon North,8,380,0,0,0,5,262
Narbethong (Vic.),0,83,0,0,0,0,92
Nareeb,0,34,0,0,0,0,5
Nareen,0,54,0,0,0,0,22
Nareewillock,0,13,0,0,0,0,0
Nariel Valley,0,42,0,0,0,0,41
Naring,0,90,0,0,0,0,12
Naringal,0,83,0,0,0,0,26
Naringal East,0,49,0,0,0,0,35
Naroghid,0,31,0,0,0,0,32
Narracan,0,125,0,0,0,0,93
Narraport,0,25,0,0,0,0,9
Narrapumelap South,0,25,0,0,0,0,0
Narrawong,0,189,4,0,0,0,156
Narre Warren,1209,13254,870,1822,15,615,6799
Narre Warren East,8,192,0,0,0,0,154
Narre Warren North,126,4561,84,498,6,129,1700
Narre Warren South,1158,15080,970,3205,23,603,7203
Narrung (Vic.),0,10,0,0,0,0,6
Nathalia,0,1173,0,3,0,4,563
Natimuk,0,277,0,0,0,0,191
Natte Yallock,0,59,0,0,0,0,27
Natya,0,15,0,0,0,0,24
Navarre,0,70,0,0,0,0,21
Navigators,0,122,0,0,0,0,99
Nayook,0,26,0,0,0,0,37
Neds Corner,0,4,0,0,0,0,0
Neereman,0,20,0,0,0,0,0
Neerim,0,84,0,0,0,0,81
Neerim East,0,102,0,0,0,0,68
Neerim Junction,0,61,0,0,0,0,28
Neerim North,0,26,0,0,0,0,15
Neerim South,11,659,0,0,5,3,474
Neilborough,0,162,0,0,0,0,99
Nelse,0,0,0,0,0,0,0
Nelson (Vic.),4,99,3,0,0,0,71
Nerrena,0,129,0,0,0,0,90
Nerrin Nerrin,0,22,0,0,0,0,19
Nerrina,4,563,7,0,0,7,305
Nerring,0,12,0,0,0,0,0
Netherby (Vic.),0,82,0,0,0,0,30
Neuarpurr,0,27,0,0,0,0,25
New Gisborne,11,1387,0,6,4,0,811
Newborough,41,3794,0,14,0,19,2360
Newbridge (Vic.),0,121,0,0,0,0,49
Newbury,5,23,0,0,0,0,31
Newcomb,47,2371,52,22,0,38,1586
Newfield,4,29,0,0,0,0,25
Newham,4,217,3,0,0,0,213
Newhaven,10,191,0,0,0,0,200
Newington (Vic.),13,1029,10,8,0,5,695
Newlands Arm,3,380,0,0,0,0,267
Newlyn,0,76,0,0,0,0,44
Newlyn North,0,78,0,0,0,5,61
Newmerella,0,197,0,0,0,0,158
Newport (Vic.),153,5863,106,350,20,61,5381
Newry,0,245,0,0,0,0,132
Newstead (Vic.),12,280,0,0,0,5,380
Newtown (Golden Plains - Vic.),0,42,8,0,0,0,66
Newtown (Greater Geelong - Vic.),85,5699,87,56,6,46,3215
Nhill,38,1536,12,10,0,0,445
Nichols Point,5,894,0,6,0,3,536
Nicholson (Vic.),3,579,0,0,0,6,421
Niddrie,68,3601,82,53,0,27,1268
Nilma,0,177,0,0,0,0,141
Nilma North,0,144,0,0,0,0,140
Ninda,0,4,0,0,0,0,13
Nine Mile (Vic.),0,18,0,0,0,0,0
Nintingbool,0,86,0,0,0,0,68
Ninyeunook,0,10,0,0,0,0,0
Nirranda,0,32,0,0,0,0,22
Nirranda East,0,14,0,0,0,0,0
Nirranda South,0,51,0,0,0,0,14
Noble Park,5068,11305,1408,3020,48,1936,5368
Noble Park North,659,3940,185,526,20,162,1418
Noojee,0,65,0,0,0,3,72
Noorat,0,216,0,0,0,6,87
Noorat East,0,11,0,0,0,0,7
Noorinbee,0,17,0,0,0,0,26
Noorinbee North,0,3,0,0,0,0,18
Noradjuha,0,30,0,0,0,0,37
Norlane,138,3816,43,293,8,95,2793
Normanville (Vic.),0,17,0,0,0,0,15
Norong,0,75,0,0,0,0,30
North Bendigo,54,2024,30,22,3,18,1490
North Blackwood,0,17,0,0,0,0,15
North Geelong,28,1409,48,51,0,43,852
North Melbourne,747,3415,281,1088,49,83,7080
North Shore (Vic.),4,175,9,0,0,3,118
North Wangaratta,0,152,3,0,0,0,93
North Warrandyte,30,1043,8,0,7,11,1570
North Wonthaggi,24,1386,11,3,0,16,1094
Northcote,440,8457,137,265,74,105,12619
Northwood (Vic.),4,118,0,0,0,0,62
Norval,0,21,0,0,0,0,8
Notting Hill,333,808,140,180,8,47,1193
Nowa Nowa,0,79,0,0,0,0,91
Nowhere Creek,0,14,0,0,0,0,5
Nowie,0,6,0,0,0,0,4
Nug Nug,0,9,0,0,0,0,8
Nuggetty,0,23,0,0,0,0,12
Nulla Vale,0,39,0,0,0,0,12
Nullawarre,0,156,0,0,0,0,73
Nullawarre North,0,43,0,0,0,0,11
Nullawil,0,62,0,0,0,0,26
Numurkah,15,2786,23,10,0,7,1255
Nunawading,605,5229,450,225,13,205,4190
Nungurner,0,132,0,0,0,0,124
Nunniong,0,0,0,0,0,0,0
Nurcoung,0,21,0,0,0,0,4
Nurrabiel,0,50,0,0,0,0,9
Nurran,0,0,0,0,0,0,0
Nutfield,0,73,0,0,0,0,57
Nyah,3,268,0,0,0,0,167
Nyah West,3,355,3,5,0,0,166
Nyarrin,0,15,0,0,0,0,0
Nyerimilang,0,0,0,0,0,0,0
Nyora (Vic.),3,775,3,0,0,14,600
Nyrraby,0,7,0,0,0,0,5
Oak Park,166,3099,289,337,0,73,1687
Oaklands Junction,0,293,0,24,0,0,80
Oakleigh,200,4059,304,84,50,65,2339
Oakleigh East,336,3102,300,183,36,92,1873
Oakleigh South,377,5003,337,133,209,85,2341
Oakvale,0,15,0,0,0,0,5
Ocean Grange,0,0,0,0,0,0,0
Ocean Grove,114,7255,20,16,3,33,5679
Officer,214,3553,257,145,3,132,2379
Officer South,0,46,0,0,0,0,24
Old Tallangatta,0,18,0,0,0,0,10
Olinda (Vic.),33,636,0,0,7,6,902
Ombersley,0,44,0,0,0,0,38
Omeo,10,212,0,0,0,0,143
Omeo Valley,0,3,0,0,0,0,0
Ondit,0,55,0,0,0,0,38
Orbost,13,1095,0,3,0,10,867
Orford (Vic.),0,80,0,0,0,0,20
Ormond,222,3000,616,85,726,94,2980
Orrvale,9,276,0,0,0,28,100
Osbornes Flat,0,132,0,0,0,0,83
Outtrim,6,76,0,0,0,0,121
Ouyen,6,700,9,0,0,0,347
Ovens,0,123,0,0,0,0,59
Oxley (Vic.),3,356,0,0,0,0,205
Oxley Flats,0,43,0,0,0,0,11
Ozenkadnook,0,20,0,0,0,0,7
Paaratte,0,23,0,0,0,0,4
Painswick,0,0,0,0,0,0,5
Pakenham,869,22881,805,711,35,811,16393
Pakenham South,7,136,9,0,0,0,38
Pakenham Upper,0,592,8,3,0,0,450
Panitya (Vic.),0,39,0,0,0,0,22
Panmure,0,229,0,0,0,0,132
Panton Hill,9,410,0,0,0,10,503
Paradise (Vic.),0,22,0,0,0,0,11
Paradise Beach,3,82,0,0,0,0,45
Paraparap,4,77,0,0,0,0,57
Park Orchards,33,2176,13,13,0,14,1324
Parkdale,129,6052,95,45,63,70,4337
Parkville (Vic.),247,2111,144,244,20,37,3406
Parwan,0,106,0,5,0,0,45
Paschendale,0,21,0,0,0,0,4
Pascoe Vale,326,8734,491,1320,3,147,4398
Pascoe Vale South,145,5894,94,261,7,55,2713
Pastoria,0,17,0,0,0,0,25
Pastoria East,0,15,0,0,0,0,20
Patchewollock,0,69,0,0,0,0,47
Patho,0,59,0,0,0,0,30
Patterson Lakes,176,4187,60,61,23,21,2406
Patyah,0,40,0,0,0,0,15
Paynesville (Vic.),30,1756,5,0,0,22,1305
Pearcedale,22,1878,0,0,0,3,1571
Pearsondale,0,75,0,0,0,0,40
Peechelba,12,105,0,0,0,0,53
Peechelba East,0,26,0,0,0,0,18
Pelluebla,0,23,0,0,0,0,3
Pennyroyal,0,26,0,0,0,0,39
Penshurst (Vic.),3,416,0,0,0,6,145
Pental Island,0,71,0,0,0,3,53
Pentland Hills,0,106,0,0,0,0,52
Percydale,0,15,0,0,0,0,15
Peronne,0,42,0,0,0,0,0
Perry Bridge,0,56,0,0,0,0,21
Peterborough (Vic.),3,133,0,0,0,0,86
Petticoat Creek,0,0,0,0,0,0,0
Pheasant Creek (Vic.),5,125,0,0,0,9,126
Piangil,0,156,0,0,0,0,64
Picola,4,136,0,0,0,0,56
Picola West,0,6,0,0,0,0,8
Piedmont,0,25,0,0,0,0,14
Pier Milan,0,3,0,0,0,0,0
Pigeon Ponds,0,15,0,0,0,0,13
Piggoreet,0,24,0,0,0,0,11
Pimpinio,0,124,0,0,0,0,33
Pine Grove (Vic.),0,29,0,0,0,0,9
Pine Lodge (Vic.),0,157,0,0,0,0,81
Pine Mountain (Vic.),0,30,0,0,0,0,7
Pine View,0,0,0,0,0,0,0
Pioneer Bay,0,145,0,0,0,0,146
Pipers Creek,0,57,0,3,0,0,66
Pira,0,9,0,0,0,0,0
Piries,0,27,0,0,0,0,19
Pirron Yallock,0,63,0,0,0,0,45
Pitfield,0,18,0,0,0,0,20
Pittong,0,6,0,0,0,0,6
Plenty (Vic.),11,1495,5,18,5,15,683
Plumpton (Vic.),142,2449,230,254,0,230,605
Point Cook,1959,22197,4971,2168,52,1043,13957
Point Leo,0,67,0,0,0,0,73
Point Lonsdale,14,1473,4,4,0,0,908
Point Wilson,0,0,0,0,0,0,0
Polisbet,0,4,0,0,0,0,0
Pomborneit,0,47,0,0,0,0,16
Pomborneit East,0,16,0,0,0,0,14
Pomborneit North,0,41,0,0,0,0,12
Pomonal,3,156,0,0,8,0,133
Pompapiel,0,17,0,0,0,0,12
Poolaijelo,0,16,0,0,0,0,24
Pootilla,0,45,0,0,0,0,23
Poowong,0,335,0,3,0,0,253
Poowong East,0,37,0,0,0,0,30
Poowong North,0,97,0,0,0,0,62
Porcupine Ridge,6,36,0,3,0,0,66
Porepunkah,0,405,0,0,0,3,412
Port Albert,0,158,0,0,0,0,88
Port Campbell,0,204,0,0,0,0,187
Port Fairy,21,1841,5,3,0,11,1098
Port Franklin,0,57,0,0,0,0,66
Port Melbourne,241,7231,90,234,135,49,6283
Port Welshpool,0,127,0,0,0,4,52
Portarlington,24,2015,0,4,3,8,1129
Portland (Vic.),72,5082,24,25,0,35,3361
Portland North,0,318,0,0,0,0,222
Portland West,4,306,0,0,0,0,200
Portsea,3,318,0,0,0,3,140
Pound Creek,0,55,0,0,0,0,41
Powelltown,0,65,0,0,0,0,115
Powers Creek,0,8,0,0,0,0,0
Powlett Plains,0,20,0,0,0,0,14
Prahran,252,4606,164,133,325,56,5624
Prairie (Vic.),0,45,0,0,0,0,14
Pranjip,0,9,0,0,0,0,13
Preston (Vic.),1164,13614,826,1847,40,270,11675
Princes Hill,31,729,4,80,16,8,1021
Princetown,0,128,0,0,0,0,84
Puckapunyal,4,551,0,4,0,10,411
Pura Pura,0,13,0,0,0,0,19
Purdeet,0,16,0,0,0,0,0
Purnim,0,136,0,0,0,0,88
Purnim West,0,22,0,0,0,0,13
Pyalong,4,391,0,0,0,5,201
Pyramid Hill,8,376,0,0,0,3,143
Quambatook,0,157,0,0,0,0,63
Quandong,0,0,0,0,0,0,0
Quantong,0,204,0,0,0,0,89
Quarry Hill,33,1091,23,9,5,18,952
Queenscliff (Vic.),8,690,7,0,0,0,479
Raglan (Vic.),0,129,0,0,0,0,68
Rainbow,0,487,3,0,0,0,143
Ranceby,0,37,0,0,0,0,10
Rathscar,0,17,0,0,0,0,9
Rathscar West,0,18,0,0,0,0,8
Ravenhall,0,8,0,0,0,0,0
Ravenswood (Vic.),4,208,0,0,0,0,192
Ravenswood South,4,32,0,0,0,0,28
Rawson,0,152,0,0,0,0,117
Raymond Island,4,254,0,0,0,0,221
Raywood,0,180,0,0,0,0,103
Red Cliffs,49,2471,4,32,0,22,1897
Red Hill (Vic.),12,300,4,0,10,0,494
Red Hill South,3,242,4,0,0,0,275
Red Lion,4,55,0,0,0,0,42
Redan,19,1367,16,6,0,14,1127
Redbank (Vic.),0,45,0,0,0,0,43
Redcastle,0,25,0,0,0,0,42
Redesdale,4,140,0,0,0,0,67
Reedy Creek (Vic.),0,78,0,0,0,0,74
Reedy Dam,0,13,0,0,0,0,8
Reedy Flat,0,8,0,0,4,0,16
Reedy Lake,0,21,0,0,0,0,12
Reefton (Vic.),0,26,0,0,0,0,28
Research,15,1254,0,8,4,6,1143
Reservoir (Vic.),1547,24945,2074,3432,25,1005,12363
Reynard,0,0,0,0,0,0,0
Rheola,0,30,0,0,0,3,17
Rhyll,0,298,0,0,0,0,223
Rhymney,0,35,0,0,0,0,11
Riachella,0,0,0,0,0,0,4
Rich Avon,0,5,0,0,0,0,0
Rich Avon East,0,0,0,0,0,0,0
Rich Avon West,0,19,0,0,0,0,3
Richmond (Vic.),1573,9649,256,446,130,75,12466
Richmond Plains,0,4,0,0,0,0,0
Riddells Creek,20,2024,0,3,0,7,1566
Riggs Creek,0,17,0,0,0,0,16
Ringwood (Vic.),548,8489,400,209,21,290,6189
Ringwood East,254,4979,142,66,3,148,3864
Ringwood North,136,5404,83,50,14,38,3357
Ripplebrook,0,99,0,0,0,0,86
Rippleside,5,483,6,10,0,3,283
Ripponlea,27,412,59,5,238,12,592
Riverside (Vic.),0,186,0,0,0,0,78
Riverslea,0,96,0,0,0,0,40
Robertsons Beach,6,31,0,0,0,0,19
Robinvale,282,1641,37,36,0,17,600
Rochester (Vic.),16,1999,7,0,0,6,818
Rochford,0,29,0,0,0,0,29
Rockbank,33,811,24,53,0,24,321
Rocklands,0,9,0,0,0,0,0
Rocklyn,0,25,0,0,0,0,24
Rocky Point (Vic.),0,3,0,0,0,0,0
Rokeby (Vic.),0,94,0,0,0,0,82
Rokewood,0,102,0,0,0,5,96
Rokewood Junction,0,23,0,0,0,0,0
Romsey,28,2672,0,7,0,4,1654
Rosanna,151,4548,95,98,7,28,2852
Rose River,0,5,0,0,0,0,22
Rosebery (Vic.),0,0,0,0,0,0,0
Rosebrook (Vic.),0,69,0,0,0,0,53
Rosebud,119,6582,34,12,12,67,5120
Rosebud West,30,2691,10,3,3,10,1611
Rosedale (Vic.),12,850,0,0,4,9,599
Roses Gap,0,3,0,0,0,0,4
Rosewhite,0,67,0,0,0,0,51
Roslynmead,0,31,0,0,0,0,14
Ross Creek (Vic.),8,591,0,0,0,10,461
Rossbridge,0,16,0,0,0,0,7
Rostron,0,16,0,0,0,0,0
Rowsley,4,87,0,0,0,0,82
Rowville,1555,18181,952,609,38,380,9811
Roxburgh Park,701,10749,422,6168,0,225,1773
Rubicon,0,21,0,0,0,0,26
Ruby,0,96,0,0,0,0,73
Ruffy,0,63,0,0,0,0,43
Running Creek (Vic.),0,23,0,0,0,0,13
Runnymede (Vic.),0,44,0,0,0,0,9
Rupanyup,0,332,6,0,0,8,154
Rushworth,21,801,0,5,0,7,383
Russells Bridge,0,47,0,0,0,0,15
Rutherglen,17,1524,4,9,0,4,645
Ryans,0,0,0,0,0,0,0
Ryanston,5,140,0,0,0,0,110
Rye,68,4063,7,19,12,26,3360
Rythdale,0,16,0,0,0,0,4
Safety Beach (Vic.),31,2813,4,5,3,12,1558
Sailors Falls,5,25,0,0,0,0,29
Sailors Gully,11,364,0,4,0,0,243
Sailors Hill,0,33,0,0,0,6,38
Sale,145,7300,102,68,7,82,4568
Salisbury West,0,19,0,0,0,0,4
Samaria,0,22,0,0,0,0,27
San Remo (Vic.),18,621,7,8,0,0,460
Sandford (Vic.),0,70,0,6,0,0,56
Sandhill Lake,0,4,0,0,0,0,0
Sandhurst,76,2651,135,62,21,25,1610
Sandon (Vic.),0,18,0,0,0,0,47
Sandringham (Vic.),90,5013,44,36,57,22,4038
Sandy Creek (Vic.),0,122,0,0,0,0,44
Sandy Point (Vic.),0,92,0,0,0,4,131
Sargood,0,0,0,0,0,0,0
Sarsfield,4,257,5,0,0,5,276
Sassafras (Vic.),21,339,0,4,8,3,564
Sawmill Settlement,0,25,0,0,0,0,46
Scarsdale,5,313,0,0,0,0,349
Scoresby,410,3075,231,101,3,60,1690
Scotchmans Lead,0,56,0,0,0,0,30
Scotsburn,0,98,0,0,0,0,112
Scotts Creek (Vic.),0,120,4,0,0,0,94
Sea Lake,4,375,0,0,0,0,186
Seabrook,154,2506,259,241,0,65,1470
Seacombe,0,15,0,0,0,0,0
Seaford (Vic.),186,7341,84,79,62,93,6833
Seaholme,31,949,5,41,0,13,689
Seaspray,0,166,0,0,0,0,104
Seaton (Vic.),3,61,3,0,0,0,68
Seaview,0,61,0,0,0,0,51
Sebastian,0,114,6,0,0,0,80
Sebastopol (Vic.),69,4900,37,64,4,72,3940
Seddon (Vic.),283,1554,92,108,11,17,2595
Sedgwick,6,276,0,0,0,3,196
Selby,26,561,0,6,8,14,835
Selwyn (Vic.),0,0,0,0,0,0,0
Separation Creek,0,4,0,0,0,0,15
Serpentine (Vic.),0,108,0,0,0,6,62
Serviceton,0,84,0,0,0,0,24
Seville,19,1200,8,4,0,3,997
Seville East,5,343,0,0,0,7,395
Seymour (Vic.),57,3383,10,26,0,30,2015
Shady Creek,0,96,0,0,0,0,75
Shays Flat,0,3,0,0,0,0,5
She Oaks,0,59,0,0,0,0,39
Sheans Creek,0,21,0,0,0,0,10
Sheep Hills,0,14,0,0,0,0,11
Shelbourne,0,212,0,0,0,0,187
Shelford,4,131,0,0,0,0,97
Shelley (Vic.),0,6,0,0,0,0,0
Shepherds Flat,3,20,0,0,0,0,41
Shepparton,285,15283,368,2885,8,659,8123
Shepparton East,9,672,0,53,0,62,205
Shepparton North,12,564,18,64,0,6,267
Sherbrooke,3,100,0,0,0,0,141
Shoreham,4,263,0,0,0,3,241
Sidonia,0,9,0,0,0,0,8
Silvan,9,641,0,0,0,12,445
Silverleaves,0,121,0,0,0,0,77
Simpson (Vic.),3,316,0,0,0,0,194
Simpsons Creek,0,11,0,0,0,0,24
Simson,0,37,0,0,0,0,19
Skenes Creek,0,60,0,0,0,0,79
Skenes Creek North,0,0,0,0,0,0,8
Skibo,0,35,0,0,0,0,17
Skinners Flat,0,8,0,0,0,0,12
Skipton,0,356,0,0,0,0,159
Skye (Vic.),115,4126,111,131,18,44,2963
Slaty Creek,0,22,0,0,0,0,8
Smeaton,0,135,0,0,0,0,66
Smiths Beach,0,98,0,0,3,0,87
Smiths Gully,3,142,0,0,0,0,194
Smokeytown,0,10,0,0,0,0,17
Smoko,0,25,0,0,0,0,17
Smythes Creek,8,889,0,0,0,7,443
Smythesdale,10,508,0,0,0,4,417
Snake Island,0,0,0,0,0,0,0
Snake Valley,0,344,0,0,0,9,303
Soldiers Hill (Vic.),29,1257,15,10,0,23,1230
Somers,12,694,0,0,0,9,774
Somerton (Vic.),0,0,0,0,0,0,0
Somerville (Vic.),96,5705,9,20,7,24,4517
Sorrento (Vic.),10,925,0,0,6,3,472
South Dudley,5,187,9,0,0,0,208
South Geelong,4,492,20,3,0,3,376
South Kingsville,41,890,40,110,0,16,724
South Melbourne,274,4024,165,241,175,42,4521
South Morang,485,14828,1151,862,4,599,4716
South Purrumbete,0,69,0,0,0,0,41
South Wharf,4,20,0,0,0,0,19
South Yarra,784,8455,530,414,510,94,10888
Southbank,1070,5130,802,476,75,126,7929
Southern Cross (Vic.),0,90,0,0,0,0,14
Spargo Creek,0,9,0,0,0,0,18
Speed,0,60,0,0,0,0,7
Spotswood,34,1224,44,41,4,22,994
Spring Gully (Vic.),18,1578,25,11,0,6,1073
Spring Hill (Vic.),0,90,0,0,0,0,78
Springbank,0,87,0,0,0,0,6
Springdallah,0,16,0,0,0,0,8
Springfield (Buloke - Vic.),0,6,0,0,0,0,0
Springfield (Macedon Ranges - Vic.),0,107,0,0,0,0,48
Springhurst,0,210,0,0,0,0,115
Springmount,0,93,0,0,0,6,62
Springvale (Vic.),4899,6390,730,2048,19,1390,4272
Springvale South,4196,3959,255,361,9,482,2395
St Albans (Vic.),5648,16747,1155,2063,5,1973,5871
St Albans Park,37,2715,25,4,0,11,1695
St Andrews (Vic.),10,409,0,0,0,3,664
St Andrews Beach,12,353,0,0,0,6,428
St Arnaud,14,1425,0,0,0,12,571
St Arnaud East,0,57,0,0,0,0,26
St Arnaud North,0,31,0,0,0,0,10
St Clair (Vic.),0,23,0,0,0,0,19
St Germains,0,38,0,0,0,0,28
St Helena,21,1763,26,16,4,8,923
St Helens (Vic.),0,35,0,0,0,0,8
St Helens Plains,0,29,0,0,0,0,5
St James (Vic.),0,86,0,0,0,0,35
St Kilda (Vic.),349,5678,412,202,417,119,9399
St Kilda East,199,2846,293,63,3247,62,4799
St Kilda West,40,1060,157,12,56,12,1378
St Leonards (Vic.),32,1433,3,5,0,7,793
Staceys Bridge,0,27,0,0,0,0,6
Staffordshire Reef,0,15,0,0,0,0,17
Staghorn Flat,0,209,0,0,0,0,59
Stanhope (Vic.),11,481,0,4,0,0,233
Stanley (Vic.),6,137,0,0,0,0,165
Staughton Vale,0,35,0,0,0,0,46
Stavely,0,25,0,0,0,0,8
Stawell,35,3209,41,16,0,13,2103
Steels Creek,0,97,0,0,0,0,106
Steiglitz (Vic.),0,14,0,0,0,0,30
Stewarton (Vic.),0,65,0,0,0,0,32
Stirling (Vic.),0,0,0,0,0,0,0
Stockdale,0,22,0,0,0,0,13
Stockyard Hill,0,47,0,0,0,0,6
Stonehaven,0,49,0,0,0,0,19
Stoneleigh (Vic.),0,24,0,0,0,0,21
Stony Creek (Central Goldfields - Vic.),0,5,0,0,0,0,0
Stony Creek (South Gippsland - Vic.),0,113,0,0,0,0,136
Stonyford,0,24,0,0,0,3,10
Stradbroke,0,92,0,0,0,0,65
Strangways,0,29,0,0,0,0,39
Straten,0,0,0,0,0,0,3
Stratford (Vic.),13,1442,3,4,0,10,922
Strath Creek,0,70,0,0,0,5,58
Strathallan,0,90,0,0,0,0,33
Strathbogie,7,134,0,0,0,0,127
Strathdale,52,3365,37,15,0,26,1741
Strathdownie,0,93,0,0,0,0,59
Strathewen,7,52,0,0,0,0,100
Strathfieldsaye,37,3235,22,13,0,4,1787
Strathkellar,0,72,0,0,0,0,21
Strathlea,0,7,0,0,0,0,6
Strathmerton,0,617,0,0,0,0,351
Strathmore (Vic.),103,5209,74,228,6,24,2186
Strathmore Heights,19,627,9,30,0,0,253
Streatham,0,104,0,0,0,0,27
Strzelecki (Vic.),0,40,0,0,0,0,41
Stuart Mill,0,52,0,0,0,0,16
Sugarloaf (Vic.),0,0,0,0,0,0,7
Sugarloaf Creek,0,117,0,0,0,15,85
Suggan Buggan,0,0,0,0,0,0,0
Sulky,0,129,0,0,0,0,81
Summerlands,0,0,0,0,0,0,0
Sunbury,319,20399,146,195,17,195,11857
Sunday Creek,0,162,0,0,0,0,112
Sunderland Bay,5,80,0,0,0,0,134
Sunset Strip (Vic.),6,166,0,0,0,4,180
Sunshine (Vic.),989,4169,517,631,10,316,2197
Sunshine North,2568,5091,271,507,5,130,2204
Sunshine West,2281,9205,487,1551,7,225,3352
Surf Beach (Vic.),8,198,0,0,0,3,250
Surrey Hills,270,6653,242,58,32,53,5215
Sutherland (Vic.),0,12,0,0,0,0,7
Sutherlands Creek,0,73,0,0,0,0,21
Sutton (Vic.),0,0,0,0,0,0,0
Sutton Grange,0,59,0,0,0,0,61
Swan Bay (Vic.),0,37,0,0,0,0,22
Swan Hill,77,6075,51,279,3,151,2971
Swan Hill West,0,3,0,0,0,0,0
Swan Island,0,0,0,0,0,0,0
Swan Marsh,0,83,0,3,0,0,17
Swan Reach (Vic.),5,343,0,0,0,0,296
Swanpool,5,120,0,0,0,0,61
