SSC,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs/No Religious Affiliation
Ben Lomond (NSW),0,102,0,0,0,0,24
Benandarah,5,89,0,0,0,0,29
Bendalong,0,55,0,0,0,0,28
Bendemeer,0,299,0,0,0,0,123
Bendick Murrell,0,110,0,0,0,0,24
Bendolba,0,135,0,0,0,0,55
Bendoura,0,19,0,0,0,0,33
Benerembah,0,78,0,0,0,0,28
Bengalla,0,13,0,0,0,0,8
Bennetts Green,0,5,0,0,0,0,4
Benolong,0,41,0,0,0,0,7
Bensville,19,1681,0,8,0,8,670
Bentley (NSW),0,126,0,0,0,0,35
Berala,1218,3098,377,1536,0,77,2117
Berambing,4,42,0,0,0,0,45
Beresfield,30,2058,8,7,0,14,813
Bergalia,0,77,0,0,0,4,75
Berkeley,130,4690,9,341,0,20,1796
Berkeley Vale,49,5227,19,10,5,25,2447
Berkshire Park,7,837,3,16,0,8,169
Berlang,0,0,0,0,0,0,0
Bermagui,21,788,0,0,4,8,544
Berowra,68,2751,54,71,27,16,1447
Berowra Creek,0,7,0,0,0,0,9
Berowra Heights,65,2964,6,10,11,17,1866
Berowra Waters,0,29,0,0,0,0,28
Berrambool,3,244,0,0,0,0,162
Berrara,0,177,0,0,0,0,91
Berremangra,0,46,0,0,0,0,29
Berrico,0,12,0,0,0,0,12
Berridale,10,660,0,0,6,6,414
Berrigal,0,20,0,0,0,0,0
Berrigan,3,842,0,0,0,9,249
Berrilee,8,133,0,0,0,3,70
Berrima,8,360,0,0,4,3,205
Berringer Lake,0,15,0,0,0,0,5
Berry,14,1624,0,0,9,8,749
Berry Jerry,0,58,0,0,0,0,4
Berry Mountain,0,7,0,0,0,0,6
Berry Park,0,89,0,0,0,0,24
Berthong,0,37,0,0,0,0,5
Beryl,0,68,0,0,0,0,43
Bethungra,0,109,0,0,0,0,35
Bevendale,0,30,0,10,0,0,3
Beverley Park,48,1637,32,97,0,13,368
Beverly Hills,634,5527,134,539,10,46,2490
Bewong,0,42,0,0,0,0,26
Bexhill,4,288,0,0,0,6,173
Bexley,525,10400,507,2534,19,61,3350
Bexley North,169,2552,43,189,7,12,758
Biala,0,40,0,7,0,0,7
Bibbenluke,0,63,0,0,0,0,16
Biddon,0,71,0,0,0,0,22
Bidgeemia,0,30,0,0,0,0,0
Bidwill (NSW),40,2380,28,159,0,16,1057
Bielsdown Hills,0,57,0,0,0,0,36
Big Hill (NSW),0,31,0,0,0,0,12
Big Jacks Creek,0,36,0,0,0,0,5
Big Ridge,0,15,0,0,0,0,0
Big Springs,0,90,0,0,0,5,14
Bigga,0,144,0,0,0,0,36
Bilambil,4,236,5,0,0,0,125
Bilambil Heights,39,1848,8,4,5,15,1125
Bilbul,0,419,0,0,0,11,73
Bilgola Beach,4,117,0,3,0,0,105
Bilgola Plateau,19,1841,4,0,14,9,1421
Billeroy,0,26,0,0,0,0,9
Billilingra,0,4,0,0,0,0,3
Billimari,0,98,0,0,0,0,27
Billinudgel,9,70,0,0,0,5,92
Billys Creek,0,23,0,0,0,0,32
Billywillinga,0,134,0,0,0,0,46
Bilpin,12,366,0,0,0,0,195
Bimberi,0,0,0,0,0,0,0
Bimbi,0,76,0,0,0,0,16
Bimbimbie,3,50,0,0,0,0,58
Binalong,0,355,0,0,0,7,126
Binda,0,172,0,0,0,0,47
Bindera,0,16,0,0,0,0,6
Bingara,0,1043,0,0,4,0,216
Bingeebeebra Creek,0,12,0,0,0,0,4
Bingie,4,78,0,0,0,0,92
Bingleburra,0,9,0,0,0,0,14
Biniguy,0,86,0,0,0,0,30
Binjura,3,173,0,0,0,3,97
Binna Burra (NSW),0,76,0,0,0,3,103
Binnaway,0,379,0,0,0,0,150
Binya,0,115,0,0,0,0,22
Birchgrove,43,1314,15,12,21,9,1506
Birdwood (NSW),0,22,0,0,0,0,10
Birganbigil,0,41,0,0,0,0,12
Birmingham Gardens,60,1013,16,142,0,23,918
Birriwa,0,34,0,0,0,0,6
Birrong,510,1239,19,565,0,8,496
Bishops Bridge,0,152,0,0,0,0,54
Bithramere,0,127,0,0,0,0,27
Black Creek (Port Macquarie-Hastings - NSW),0,24,0,0,0,0,18
Black Creek (Snowy Valleys - NSW),0,12,0,0,0,0,8
Black Head,12,555,0,0,0,0,218
Black Hill (NSW),0,348,10,0,0,6,155
Black Hollow,0,17,0,0,0,0,3
Black Mountain (NSW),5,208,0,0,0,3,60
Black Range (NSW),3,93,0,0,0,0,74
Black Springs (NSW),0,159,0,0,0,0,33
Blackalls Park,17,1701,0,0,0,13,849
Blackbutt (NSW),32,2294,9,71,0,7,651
Blackett,21,2073,38,130,4,19,754
Blackheath,100,1852,10,13,10,35,1920
Blackmans Flat,0,10,0,0,0,0,3
Blackmans Point,0,117,0,0,0,3,30
Blacksmiths,28,1105,0,0,0,10,596
Blacktown,846,23472,5824,3481,19,3204,6738
Blackville,0,53,0,0,0,0,37
Blackwall (NSW),23,1125,5,3,9,7,554
Blair Athol (NSW),229,1701,172,265,3,32,340
Blairmount,14,243,22,15,0,0,93
Blakebrook,0,97,0,0,0,0,35
Blakehurst,208,4003,73,262,25,20,1219
Blakney Creek,0,39,0,0,0,0,17
Bland,0,34,0,0,0,0,0
Blandford,0,136,0,0,0,0,34
Blaxland (NSW),46,4526,12,9,13,31,2309
Blaxlands Creek,0,69,0,0,0,0,37
Blaxlands Ridge,3,291,0,0,0,4,135
Blayney,12,2393,11,5,0,11,661
Bligh Park,26,4347,16,26,0,17,1625
Blighty,0,90,0,0,0,0,38
Blowering,0,0,0,0,0,0,0
Blue Bay,6,686,4,3,6,3,206
Blue Haven,41,4192,6,12,10,36,1727
Blue Knob,4,33,0,0,0,6,123
Blue Mountains National Park,0,0,0,0,0,0,0
Blue Nobby,0,20,0,0,0,0,6
Blue Vale,0,52,0,0,0,0,3
Blueys Beach,5,121,0,0,0,0,47
Boambee,8,1034,0,0,0,25,442
Boambee East,41,3206,11,12,3,28,1523
Boambolo,0,34,0,0,0,0,16
Boat Harbour (Lismore - NSW),0,77,0,0,0,0,39
Boat Harbour (Port Stephens - NSW),6,568,0,0,0,0,334
Bobadah,0,0,0,0,0,0,10
Bobin,0,64,4,0,0,0,69
Bobs Creek,0,42,0,0,0,0,30
Bobs Farm,4,292,0,0,0,0,113
Bobundara,0,14,0,0,0,0,0
Boco,0,0,0,0,0,0,0
Bocoble,0,72,0,0,0,3,49
Bocobra,0,27,0,0,0,0,7
Bodalla,15,414,0,0,0,7,248
Bodangora,0,57,0,0,0,0,7
Boeill Creek,0,57,0,0,0,0,23
Bogan,0,13,0,0,0,0,4
Bogan Gate,0,174,0,0,0,0,55
Bogangar,43,1426,15,12,3,8,1222
Bogee,0,60,0,0,0,0,21
Boggabilla,0,698,0,0,0,3,194
Boggabri,6,749,0,0,0,0,223
