,SSC,variable,value,sortOrder
77,Eganstown,Nil-income,3,0
78,Gellibrand,Nil-income,3,0
79,Girgarre East,Nil-income,4,0
80,Jeparit,Nil-income,4,0
81,Kyvalley,Nil-income,5,0
82,Lalbert,Nil-income,3,0
83,Learmonth (Vic.),Nil-income,3,0
84,Loch Sport,Nil-income,3,0
85,Marlo,Nil-income,3,0
86,Melbourne,Nil-income,686,0
87,Merrigum,Nil-income,6,0
88,Minyip,Nil-income,6,0
89,Moe South,Nil-income,6,0
90,Mount Cottrell,Nil-income,6,0
91,Moyhu,Nil-income,4,0
92,Newmerella,Nil-income,5,0
93,Notting Hill,Nil-income,38,0
94,Powelltown,Nil-income,3,0
95,Pyramid Hill,Nil-income,6,0
96,Raywood,Nil-income,4,0
97,Southern Cross (Vic.),Nil-income,3,0
98,Strangways,Nil-income,3,0
99,Tonimbuk,Nil-income,5,0
100,Travancore,Nil-income,29,0
101,Vectis,Nil-income,3,0
102,Venus Bay (Vic.),Nil-income,5,0
103,Waubra,Nil-income,3,0
104,Winslow,Nil-income,3,0
105,Wyuna (Vic.),Nil-income,4,0
106,Yambuk,Nil-income,5,0
107,Yarrawalla,Nil-income,5,0
108,Yeungroon,Nil-income,3,0
109,Amity,Nil-income,6,0
110,Atkinsons Dam,Nil-income,4,0
111,Augathella,Nil-income,5,0
112,Bajool,Nil-income,4,0
113,Balgal Beach,Nil-income,6,0
114,Bannockburn (Qld),Nil-income,6,0
115,Boigu Island,Nil-income,6,0
116,Bondoola,Nil-income,5,0
117,Booubyjan,Nil-income,3,0
118,Brisbane City,Nil-income,76,0
119,Cannon Creek (Scenic Rim - Qld),Nil-income,4,0
120,Captain Creek,Nil-income,7,0
121,Coonarr,Nil-income,3,0
122,Cooroy Mountain,Nil-income,8,0
123,Cooyar,Nil-income,5,0
124,Dululu,Nil-income,5,0
125,East Barron,Nil-income,3,0
126,Eidsvold,Nil-income,4,0
127,Ellesmere,Nil-income,4,0
128,Euleilah,Nil-income,6,0
129,Georgetown (Qld),Nil-income,4,0
130,Goovigen,Nil-income,5,0
131,Gordonbrook,Nil-income,6,0
132,Greens Creek (Qld),Nil-income,3,0
133,Groomsville,Nil-income,3,0
134,Horseshoe Bay,Nil-income,3,0
135,Imbil,Nil-income,8,0
136,Kabra,Nil-income,4,0
137,Kelvin Grove,Nil-income,62,0
138,Keppel Sands,Nil-income,4,0
139,Kilcummin,Nil-income,3,0
140,Kunwarara,Nil-income,3,0
141,Kurumbul,Nil-income,3,0
142,Lockrose,Nil-income,3,0
143,Minbun,Nil-income,4,0
144,Moonford,Nil-income,4,0
145,Moorina (Qld),Nil-income,5,0
146,Mount Hallen,Nil-income,6,0
147,Mount Rascal,Nil-income,4,0
148,O'Connell (Qld),Nil-income,3,0
149,Oak Beach,Nil-income,4,0
150,Oak Valley,Nil-income,4,0
151,Paget,Nil-income,3,0
152,Palmyra (Qld),Nil-income,3,0
153,Peak Vale,Nil-income,4,0
154,Pentland,Nil-income,4,0
155,Pleystowe,Nil-income,3,0
156,Poona,Nil-income,6,0
157,Ramsay (Qld),Nil-income,6,0
158,Richmond (Mackay - Qld),Nil-income,4,0
159,Robertson (Qld),Nil-income,53,0
160,Stanage,Nil-income,3,0
161,Stony Creek (Qld),Nil-income,5,0
162,Sunnybank,Nil-income,76,0
163,Tarzali,Nil-income,3,0
164,Tiaro,Nil-income,5,0
165,Tinbeerwah,Nil-income,10,0
166,Towen Mountain,Nil-income,5,0
