SSC,population
Benaraby,1221
Benarkin,57
Benarkin North,314
Benholme,90
Benobble,46
Benowa,8739
Bentley Park,8015
Berajondo,64
Berat,120
Bergen,71
Berrinba,1349
Berserker,6878
Bethania,5383
Biarra,257
Biboohra,568
Biddaddaba,167
Biddeston,286
Bidwill (Qld),487
Biggenden,845
Biggera Waters,8535
Bilinga,1806
Billa Billa,109
Biloela,5760
Bilyana,179
Bindebango,12
Bingegang,17
Bingil Bay,430
Binjour,101
Binna Burra (Qld),8
Birdsville,141
Birkalla,126
Birkdale,14498
Birnam (Scenic Rim - Qld),104
Birnam (Toowoomba - Qld),63
Birtinya,1934
Black Duck Creek,18
Black Jack,161
Black Mountain (Qld),1442
Black River (Qld),1478
Black Snake,78
Blackall,1410
Blackbull,3
Blackbutt (Qld),837
Blackbutt North,437
Blackbutt South,167
Blackdown,0
Blackrock,320
Blacks Beach,3863
Blacksoil,107
Blackstone,1025
Blackswamp,58
Blackwater,4751
Blairmore,0
Blanchview,190
Blantyre,58
Blaxland (Qld),36
Blenheim,291
Bli Bli,7797
Bloomfield,202
Bloomsbury,599
Blue Mountain,93
Blue Mountain Heights,925
Bluewater,1040
Bluewater Park,996
Bluff,369
Blythdale,45
Boatman,12
Bogandilla,29
Bogie,158
Bohle,84
Bohle Plains,3200
Boigu Island,267
Bokarina,1355
Bollier,195
Bollon,224
Bolwarra (Qld),3
Bombeeta,135
Bon Accord,16
Bondoola,531
Bongaree,6946
Bongeen,76
Bonnie Doon (Qld),376
Bonogin,4569
Bonshaw (Qld),40
Bony Mountain,95
Boodua,91
Boogan,124
Booie,1038
Boolboonda,52
Boolburra,25
Boompa,82
Boonah (Qld),2487
Boonara,72
Boonarga,41
Boondall,9218
Boondandilla,4
Boondooma,73
Boonooroo,322
Boonooroo Plains,3
Booral (Qld),1536
Booroobin,257
Booubyjan,113
Booval,2617
Booyal,278
Borallon,80
Boreen Point,330
Boronia Heights,7866
Bororen,405
Boulder Creek,13
Bouldercombe,1087
Boulia,301
Bountiful Islands,0
Bowen,10384
Bowen Hills,3222
Bowenville,250
Boyland,825
Boyne Island,4759
Boyne Valley,355
Boynedale,14
Boyneside,58
Boynewood,175
Bracalba,116
Bracewell,193
Bracken Ridge,16935
Braemeadows,290
Braemore,139
Bramston Beach,172
Branch Creek,33
Branchview,22
Brandon,1094
Brandy Creek (Qld),117
Branyan,4132
Brassall,10902
Bray Park (Qld),10246
Breadalbane (Qld),22
Breakaway,200
Breddan,486
Brendale,2761
Bribie Island North,0
Bridgeman Downs,8444
Bridges,276
Brigalow,173
Brightly,68
Brighton (Qld),9476
Brightview,811
Brigooda,36
Bringalily,81
Brinsmead,5364
Brisbane Airport,0
Brisbane City,9461
Broadbeach,5514
Broadbeach Waters,7775
Broadmere,45
Broadwater (Qld),293
Broken River,20
Bromelton,154
Brookfield (Qld),3530
Brookhill,77
Brooklands,294
Brookstead,218
Brookwater,2150
Brooloo,343
Brooweena,103
Broughton (Qld),724
Brovinia,11
Browns Plains (Qld),6309
Broxburn,147
Brush Creek,37
Bryden,33
Brymaroo,138
Buaraba,178
Buaraba South,0
Bucasia,4773
Bucca (Qld),1031
Buccan,1813
Buckingham (Qld),0
Buckland (Qld),44
Buddina,3885
Buderim,29354
Budgee,38
Bukali,60
Bulgun,274
Bulimba,6841
Bullawarra,3
Bullcamp,56
Bulleringa,0
Bulli Creek,8
Bulloo Downs,0
Bullyard,190
Bulwer,45
Bunburra,92
Bundaberg Central,316
Bundaberg East,2784
Bundaberg North,5449
Bundaberg South,3300
Bundaberg West,2499
Bundall,4522
Bundamba,6512
Bundi,36
Bundoora (Qld),12
Bungaban,53
Bungadoo,316
Bungalow,2158
Bungeworgorai,81
Bungil (Qld),29
Bungundarra,535
Bungunya,74
Bunjurgen,116
Bunya,1916
Bunya Creek,85
Bunya Mountains,144
Burbank,1048
Burdell,5816
Burgowan,42
Burketown,234
Burleigh,42
Burleigh Heads,10082
Burleigh Waters,14306
Burncluith,155
Burnett Creek,12
Burnett Heads,2651
Burnside (Qld),2408
Burpengary,14022
Burpengary East,6431
Burra Burri,38
Burrar Islet,0
Burrum Heads,2066
Burrum River,248
Burrum Town,172
Burton (Qld),30
Burua,772
Bushland Beach,6181
Bushley,28
Butchers Creek,111
Buxton (Qld),430
Bybera,3
Byee,32
Byellee,0
Byfield,304
Bymount,30
Byrnestown,34
Cabarlah,1075
Caboolture,26428
Caboolture South,5304
Caboonbah,10
Cadarga,10
Caffey,72
Cainbable,75
Cairdbeign,88
Cairns City,2737
Cairns North,5194
Calamvale,17123
Calavos,331
Calcium,26
Caldervale,13
Calen,387
Calgoa,11
Calico Creek,152
Calingunee,28
Callandoon,33
Callemondah,21
Callide,86
Calliope (Qld),5101
Caloundra,3913
Caloundra West,6292
Calvert (Qld),310
Camboon (Qld),94
Cambooya,1583
Cambridge (Qld),40
Cambroon,220
Cameby,57
Cameron Corner,4
Camira (Qld),7412
Camoola,27
Camooweal,211
Camp Creek (Qld),190
Camp Hill,11198
Camp Mountain,1413
Campaspe,118
Campbell Creek,8
Campbells Pocket,82
Campwin Beach,522
Canaga,110
Canal Creek,9
Cania,27
Canina,364
Cannindah,30
Canning Creek,6
Canningvale,136
Cannon Creek (Scenic Rim - Qld),73
Cannon Creek (Southern Downs - Qld),42
Cannon Hill,5535
Cannon Valley,962
Cannonvale,5717
Canoona,84
Canungra,1235
Capalaba,17336
Cape Cleveland,155
Cape Conway,0
Cape Gloucester,59
Cape Hillsborough,43
Cape Tribulation,122
Capella,1008
Captain Creek,360
Captains Mountain,79
Caravonica,1986
Carbine Creek,18
Carbrook,1218
Cardstone,15
Cardwell,1309
Carina (Qld),11021
Carina Heights,6732
Carindale,15740
Carmila,333
Carmoo,179
Carnarvon Park,3
Carneys Creek,49
Carole Park,7
Caroline Crossing,14
Carpendale,132
Carpentaria,15
Carrandotta,0
Carrara,12061
Carrington (Qld),192
Carruchan,255
Carseldine,9542
Carstairs,121
Carters Ridge,466
Cashmere,4916
Cassowary,116
Castaways Beach,651
Castle Creek (Qld),28
Castle Hill (Qld),940
Cattle Creek (North Burnett - Qld),27
Cattle Creek (Toowoomba - Qld),16
Causeway Lake,120
Cawarral,827
Cawdor (Qld),357
Cecil Plains,427
Cedar Creek (Gold Coast - Qld),835
Cedar Creek (Moreton Bay - Qld),745
Cedar Grove,2037
Cedar Pocket,337
Cedar Vale,2792
Cedarton,117
Cement Mills,17
Centenary Heights,6067
Ceratodus,30
Chahpingah,29
Chambers Flat,2326
Chances Plain,149
Chandler (Qld),1440
Chapel Hill (Qld),10112
Charlestown (Qld),66
Charleville,3333
Charlton (Qld),123
Charlwood,143
Charters Towers City,2132
Chatsworth (Qld),1056
Cheeseborough,6
Chelmer,3000
Chelmsford,120
Chelona,102
Cheltenham (Qld),11
Cherbourg,1266
Chermside,9315
Chermside West,6458
Cherry Creek,43
Cherry Gully,8
Cherwell,7
Chevallum,442
Chewko,194
Childers (Qld),1585
Chillagoe,246
Chinchilla,6609
Chinghee Creek,30
Chirnside,31
Chorregon,54
Christmas Creek,52
Churchable,255
Churchill (Qld),1860
Chuwar,2245
Cinnabar,67
Clagiraba,597
Clairview,145
Clara Creek,46
Claraville,5
Clare (Qld),197
Clarendon (Qld),246
Clarke Creek,28
Clayfield,10557
Clear Island Waters,4118
Clear Mountain,728
Clemant,0
Clermont,3027
Cleveland (Qld),14798
Clifford,21
Clifton (Qld),1452
Clifton Beach (Qld),3146
Clinton (Qld),5926
Clintonvale,77
Cloncurry,2721
Clontarf (Moreton Bay - Qld),8282
Clontarf (Toowoomba - Qld),20
Closeburn,593
Cloyna,139
Cluden,428
Clumber,64
Coal Creek,54
Coalbank,31
Coalfalls,943
Coalstoun Lakes,116
Cobbs Hill,19
Cobraball,70
Cockatoo (Qld),35
Coconuts,222
Coen,369
Coes Creek,1390
Coles Creek,41
Colevale,19
Coleyville,185
Colinton (Qld),77
Collaroy (Qld),11
College View,87
Collingwood Park (Qld),7103
Collinsville (Qld),1249
Colosseum,217
Columbia,96
Columboola,69
Comet,497
Commissioners Flat,29
Como (Qld),49
Comoon Loop,48
Cona Creek,82
Condamine,385
Condamine Farms,26
Condamine Plains,103
Condon,5781
Conjuboy,0
Conondale,858
Consuelo,33
Conway,193
Conway Beach,83
Coochiemudlo Island,758
Coochin,98
Coochin Creek,80
Cooee Bay,913
Cooeeimbardi,10
Cooktown,2631
Coolabine,71
Coolabunia,165
Cooladdi,15
Coolana,177
Coolangatta (Qld),5950
Coolbie,105
Coolmunda,146
Cooloola,4
Cooloola Cove,2628
Cooloolabin,255
Coolum Beach,8502
Coombabah,10388
Coomera,13305
Coominglah,17
Coominglah Forest,0
Coominya,1200
Coomoo,18
Coomrith,47
Coonambula,67
Coonarr,260
Coondoo,64
Coongoola,12
Coopers Plains,5482
Coorada,6
Cooran,1625
Cooranga,129
Cooroibah,2037
Cooroo Lands,0
Coorooman,86
Cooroy,3786
Cooroy Mountain,139
Coorparoo,16285
Coorumba,118
Coorumbene,12
Cootharaba,837
Coowonga,252
Cooya Beach,548
Cooyar,227
Coppabella (Qld),467
Coquette Point,71
Coral Cove,1272
Coral Sea,106
Coralie,7
Cordalba,449
Cordelia,209
Corella,73
Corfield,187
Corinda,5065
Coringa,75
Corndale (Qld),39
Cornish Creek,15
Cornubia,7318
Cornwall (Qld),17
Cosgrove (Qld),288
Cotherstone,0
Cotswold Hills,1282
Cottonvale (Qld),145
Coulson,195
Coverty,170
Cow Bay,203
Cowan Cowan,28
Cowley,93
Cowley Beach,79
Cowley Creek,17
Cracow,84
Craiglie,949
Craignish,1826
Cranbrook (Qld),5913
Cranley,1452
Crawford,140
Crediton,84
Cremorne (Qld),32
Cressbrook,112
Cressbrook Creek,16
Crestmead,12150
Crimea,17
Crinum,83
Croftby,132
Crohamhurst,211
Cromarty,22
Crossdale,73
Crossroads,137
Crowley Vale,91
Crownthorpe,39
Crows Nest (Qld),2160
Croydon (Qld),259
Cryna,113
Crystal Brook (Qld),185
Crystal Creek (Qld),12
Crystalbrook,11
Cullinane,523
Cungulla,287
Cunnamulla,1140
Cunningham (Qld),65
Curra,1922
Currajah,57
Currajong,2546
Curramore (Qld),191
Currimundi,6785
Currumbin,2920
Currumbin Valley,1854
Currumbin Waters,9122
Curtis Island,324
Cushnie,137
Cutella,27
Cuttaburra,12
Cynthia,32
Cypress Gardens,94
D'Aguilar,1211
Dagmar,0
Dagun,149
Daintree,126
Daisy Hill (Qld),6660
Dajarra,187
Dakabin,3546
Dakenba,116
Dalbeg,80
Dalby,12715
Dalcouth,163
Dalga,4
Dallarnil,232
Dalma,76
Dalrymple Creek,97
Dalrymple Heights,45
Dalveen,334
Dalwogon,30
Dalysford,115
Damascus,95
Damper Creek,48
Danbulla,50
Danderoo,30
Dangore,30
Daradgee,74
Dargal Road,156
Darling Heights,5194
Darlington (Qld),91
Darr Creek,17
Darra,4339
Darts Creek,163
Dauan Island,185
Daveson,22
Dayboro,2115
Daymar,41
Deagon,3674
Deception Bay,19850
Dedin,0
Deebing Heights,2039
Deep Creek (Qld),15
Deepwater (Qld),205
Deeragun,4247
Deeral,140
Degarra,110
Degilbo,174
Delan,296
Delaneys Creek,1063
Depot Hill,1035
Derri Derra,145
Derrymore,81
Desailly,0
Deuchar,291
Devereux Creek,380
Devon Park (Qld),45
Diamantina Lakes,18
Diamond Valley,486
Diamondvale,46
Diamondy,51
Dicky Beach,1891
Didcot,58
Diddillibah,1403
Diglum,35
Dimbulah,1047
Dingo,345
Dingo Beach,168
Dingo Pocket,88
Dinmore,874
Dirnbir,53
Dirranbandi,640
Dittmer,75
Diwan,155
Dixalea,96
Dixie (Qld),15
Djarawong,101
Djiru,0
Djuan,100
Doctor Creek,39
Dolphin Heads,393
Domville,0
Donnybrook (Qld),616
Doolandella,4819
Doolbi,110
Doomadgee,1398
Doonan,3454
Doongul,29
Dotswood,97
Doughboy,23
Douglas (Toowoomba - Qld),110
Douglas (Townsville - Qld),7743
Dowar Islet,0
Downsfield,97
Dows Creek,139
Draper,676
Drayton,1706
Drewvale,4478
Drillham,122
Drillham South,69
Drinan,173
Dromedary (Qld),5
Drummondslope,45
Duaringa,277
Duchess,26
Duckinwilla,12
Ducklo,335
Dugandan,593
Duingal,71
Dulacca,186
Dulong,562
Dululu,122
Dumbleton,243
Dumgree,54
Dumpy Creek,10
Dundarrah,5
Dundas (Qld),77
Dundathu,250
Dundowran,910
Dundowran Beach,2083
Dunk,16
Dunkeld (Qld),39
Dunmora,221
Dunmore (Qld),27
Dunnrock,76
Dunrobin (Qld),18
Dunwich,865
Durack (Qld),7485
Durah,10
Durham,36
Durham Downs,63
Durong,224
Dutton Park,2025
Dutton River,29
Dykehead,12
Dynevor,16
Dysart (Qld),2989
Eagle Farm,4
Eagleby,13327
Eaglefield,0
Earlville,4028
East Barron,232
East Brisbane,5931
East Cooyar,26
East Creek,0
East Deep Creek,645
East End,61
East Feluga,249
East Greenmount,360
East Haldon,32
East Innisfail,1852
East Ipswich,2412
East Mackay,3565
East Nanango,260
East Palmerston,172
East Russell,67
East Toowoomba,5242
East Trinity,206
Eastern Heights,3705
Eaton (Qld),47
Eatons Hill,7972
Ebbw Vale,507
Ebenezer (Qld),317
Edens Landing,5094
Edge Hill,3916
Edmonton,10750
Edward River,6
Eerwah Vale,617
Egypt,10
Eidsvold,571
Eidsvold East,18
Eidsvold West,68
Eight Mile Creek (Qld),0
Eight Mile Plains,15321
Eimeo,3233
Einasleigh,92
El Arish,348
Elaman Creek,63
Elanora,12150
Elbow Valley,99
Electra,112
Elgin (Qld),39
Elgin Vale,26
Eli Waters,3307
Elimbah,3962
Ellangowan (Qld),123
Ellen Grove,2902
Ellerbeck,201
Ellesmere,347
Ellinjaa,32
Ellinthorp,23
Elliott (Qld),137
Elliott Heads,1041
Ellis Beach,22
Elphinstone (Isaac - Qld),11
Elphinstone (Toowoomba - Qld),63
Emerald (Qld),14352
Emu Creek (Qld),80
Emu Park,2130
Emu Vale,185
England Creek,29
Enoggera,5157
Enoggera Reservoir,26
Epsom (Qld),8
Erakala,549
Ernestina,17
Eromanga,121
Erub Island,326
Esk (Qld),1698
Eskdale (Qld),31
Esmeralda,22
Etna Creek,796
Eton,679
Etty Bay,397
Eubenangee,246
Eudlo,1113
Eukey,137
Euleilah,185
Eulo,90
Eumamurrin,86
Eumundi,2220
Eungella (Qld),195
Eungella Dam,12
Eungella Hinterland,0
Euramo,149
Eureka (Qld),173
Eurella,17
Eurimbula,3
Eurombah,71
Eurong,44
Euthulla,375
Evans Landing,61
Evanslea,35
Evelyn,244
Evergreen,45
Everton Hills,5940
Everton Park,8864
Evora,0
Fairdale,39
Fairfield (Qld),2980
Fairney View,224
Fairy Bower,93
Fairyland,73
Fairymead,30
Farleigh,815
Farnborough,481
Farnsfield,126
Farrars Creek,3
Fassifern (Qld),20
Fassifern Valley,96
Federal (Qld),302
Felton,274
Felton South,64
Feluga,250
Ferney,81
Fernvale (Qld),3211
Ferny Glen,81
Ferny Grove,5729
Ferny Hills,8734
Ficks Crossing,33
Fielding,3
Fifteen Mile,27
Fig Tree Pocket,4044
Finch Hatton,493
Finlayvale,34
Finnie,93
Fisher (Qld),3
Fishermans Pocket,26
Fishery Falls,142
Fitzgerald Creek,79
Fitzgibbon,5657
Fitzroy Island,46
Flagstone Creek,222
Flametree,119
Flaxton,927
Fletcher (Qld),91
Fletcher Creek,0
Fleurbaix,46
Flinders View,5811
Flinton,38
Florence Bay,0
Flying Fish Point,423
Flying Fox (Qld),60
Fordsdale,52
Foreshores,141
Forest Creek,101
Forest Glen (Qld),1391
Forest Hill (Qld),968
Forest Lake,22898
Forest Ridge,44
Forest Springs,65
Forestdale,2529
Foresthome,84
Forestvale,51
Fork Lagoons,0
Formartin,95
Forrest Beach (Qld),1254
Forsayth,131
Fortitude Valley,6974
Forty Mile,21
Fossilbrook,6
Foulden,5
Four Ways,16
Foxdale,127
Frankfield,34
Fraser Island,180
Frazerview,28
Fredericksfield,215
Freestone,211
Frenches Creek,85
Frenchville,9029
Freshwater (Qld),2028
Freshwater Point,133
Friday Pocket,39
Fulham (Qld),37
Gadgarra,0
Gaeta,123
Gailes,1830
Gainsford,19
Gairloch,43
Galilee,15
Gamboola,18
Gangalidda,0
Garbutt,2396
Garfield (Qld),38
Gargett,262
Garnant,99
Garners Beach,25
Garradunga,144
Garrawalt,0
Gatton,7102
Gaven,1563
Gayndah,1980
Gaythorne,3026
Geebung,4627
Geham,491
Gemini Mountains,49
Georgetown (Qld),351
Georgina (Qld),6
Germantown (Qld),66
Gheerulla,219
Ghinghinda,36
Gidya,0
Gigoomgan,31
Gilbert River,36
Gilberton (Etheridge - Qld),5
Gilberton (Gold Coast - Qld),27
Gilla,26
Gilldora,45
Gilston,2461
Gin Gin (Qld),1055
Gindie,212
Gindoran,5
Ginoondan,13
Girraween (Qld),9
Giru,357
Givelda,48
Gladfield (Qld),62
Gladstone Central,1546
Gladstone Harbour,30
Glamorgan Vale,403
Glan Devon,245
Glanmire (Qld),19
Glass House Mountains,5061
Glastonbury,349
Glebe (Qld),20
Glen Allyn,155
Glen Aplin,506
Glen Boughton,29
Glen Cairn,116
Glen Echo,30
Glen Eden,2777
Glen Esk,53
Glen Isla,30
Glen Niven,75
Glen Russell,15
Glen Ruth,0
Glenarbon,40
Glenaubyn,47
Glenaven,79
Glenbar,15
Glencoe (Qld),323
Glendale (Qld),615
Glenden,621
Gleneagle,1879
Glenella,4517
Glenfern (Qld),14
Glengallan,52
Glenhaughton,17
Glenlee (Qld),1233
Glenleigh,29
Glenlyon (Qld),27
Glenmoral,50
Glenmorgan,151
Glenorchy (Qld),80
Glenore Grove,882
Glenrae,83
Glenrock (Qld),43
Glenroy (Qld),28
Glenvale,6356
Glenview,1189
Glenwood (Qld),1540
Godwin Beach,460
Gogango,111
Golden Beach (Qld),5575
Golden Fleece,53
Goldfields,23
Goldsborough (Qld),927
Gooburrum,1442
Good Night,113
Goodar,68
Goodger,184
Goodna,10464
Goodwood (Qld),172
Googa Creek,42
Goolboo,15
Goolman,46
Goomally,25
Goombi,32
Goomboorian,506
Goombungee,1027
Goomburra,261
Goomeri,667
Goomeribong,41
Goondi,60
Goondi Bend,588
Goondi Hill,508
Goondiwindi,6356
Goorganga Creek,10
Goorganga Plains,0
Gooroolba,13
Gootchie,92
Goovigen,218
Goowarra,20
Goranba,188
Gordon Park,4232
Gordonbrook,177
Gordonstone,6
Gordonvale,6667
Gore,33
Gowrie Junction,2120
Gowrie Little Plain,66
Gowrie Mountain,226
Gowrie Station,16
Gracemere,11315
Graceville,4634
Grahams Creek,158
Granadilla,88
Grand Secret,165
Grandchester,445
Grange (Qld),4323
Granite Vale,0
Grant,9
Grantham,637
Granville (Qld),2715
Grapetree,30
Grassdale (Qld),8
Grasstree Beach,746
Grays Gate,37
Great Sandy Strait,4
Green Hill,159
Green Island,20
Greenbank,7694
Greenlake,0
Greenlands (Qld),252
Greenmount (Mackay - Qld),477
Greenmount (Toowoomba - Qld),702
Greens Creek (Qld),326
Greenslopes,8934
Greenswamp,43
Greenup,20
Greenvale (Qld),236
Greenview,90
Greenwood (Qld),39
Gregors Creek,92
Gregory (Qld),74
Gregory River (Bundaberg - Qld),62
Gregory River (Whitsunday - Qld),303
Greycliffe,24
Greymare,61
Griffin,6837
Groganville,6
Groomsville,112
Groper Creek,59
Grosmont,145
Grosvenor,25
Guanaba,791
Guijar Islet,0
Gulf Of Carpentaria,0
Gulliver,2828
Gulngai,0
Guluguba,109
Gumdale,2123
Gumlow,163
Gumlu,179
Gunalda,395
Gundiah,123
Gungaloon,34
Gunnawarra,16
Gunnewin,55
Gunpowder,43
Gunyarra,21
Gurgeena,29
Gurulmundi,11
Guthalungra,110
Gwambegwine,22
Gympie,10808
Habana,949
Haden,192
Haigslea,467
Hail Creek,149
Haliday Bay,162
Halifax,457
Halliford,0
Haly Creek,134
Hamilton (Qld),6993
Hamilton Creek,106
Hamilton Plains,80
Hampden (Qld),569
Hampton (Qld),357
Hannaford,123
Happy Valley (Qld),767
Harlaxton,2548
Harlin,173
Harrami,35
Harriet,0
Harristown,8559
Harrisville,613
Hatton Vale,1525
Hawkins Creek,217
Hawkwood,25
Hawthorne,4990
Hay Point,1349
Hazeldean,265
Hazledean,17
Headington Hill,60
Healy,1879
Heathwood,2795
Heatley,4036
Hebel,63
Helens Hill,119
Helensvale,16861
Helidon,1061
Helidon Spa,541
Hemmant,2382
Hendon (Qld),203
Hendra,4624
Herberton,851
Heritage Park,4975
Hermit Park,3412
Herston,2215
Hervey Range,283
Hibernia,61
Hidden Valley (Qld),422
Hideaway Bay,210
Highbury (Qld),0
Highfields (Qld),8130
Highgate Hill,6190
Highgrove,31
Highland Park,6574
Highland Plains (Maranoa - Qld),12
Highland Plains (Toowoomba - Qld),41
Highvale,1770
Highworth,295
Hillcrest (Qld),5626
Hillview,74
Hinchinbrook (Qld),0
Hirstglen,80
Hivesville,175
Hobartville (Qld),50
Hodgleigh,139
Hodgson,60
Hodgson Vale,1378
Holland Park,8106
Holland Park West,6377
Holloways Beach,2344
Hollywell,2864
Holmview,2356
Holroyd River,0
Home Creek,24
Home Hill,2956
Homebush (Qld),274
Homestead,52
Hookswood,55
Hope Island,11187
Hope Vale,1015
Hopeland (Qld),140
Horn,531
Horse Camp,413
Horse Creek,120
Horseshoe Bay,574
Horseshoe Lagoon,218
Horton,153
Howard,1361
Howitt,22
Hoya,217
Hudson,234
Hughenden,1135
Hull Heads,115
Humboldt,10
Humeburn,19
Humphery,36
Hunchy,554
Hungerford (Qld),21
Hurricane,16
Hutton Creek,26
Hyde Park (Qld),1383
Iama Island,315
Ibis,3
Idalia,4435
Ideraway,35
Ilbilbie,351
Ilfracombe,265
Ilkley,828
Illinbah,131
Image Flat,441
Imbil,925
Inala,14852
Indooroopilly,12238
Ingberry,17
Ingham,4428
Inglestone,77
Inglewood (Qld),954
Ingoldsby,69
Injinoo,558
Injune,459
Inkerman (Qld),145
Innes Park,2300
Innisfail,1145
Innisfail Estate,1336
Innisplain,85
Innot Hot Springs,179
Inskip,48
Inverlaw,200
Inverness,494
Ipswich,2460
Iredale,162
Iron Range,13
Ironbark (Qld),598
Irongate,126
Ironpot (Livingstone - Qld),161
Ironpot (South Burnett - Qld),43
Irvinebank,120
Irvingdale,193
Isis Central,222
Isis River,112
Isisford,220
Isla,159
Island Plantation,150
Iveragh,143
Ivory Creek,42
Jackson,55
Jackson North,62
Jackson South,9
Jacobs Well,1846
Jaffa,22
Jaggan,188
Jamboree Heights,3093
Jandowae,1042
Japoonvale,139
Jardine,63
Jardine River,0
Jarra Creek,134
Jarvisfield,368
Jeebropilly,3
Jellinbah,31
Jensen,1478
Jericho (Qld),120
Jerona,40
Jimboomba,13204
Jimbour East,199
Jimbour West,59
Jimna,88
Jindalee (Qld),5321
Jinghi,76
Jobs Gate,11
Johnsons Hill,17
Johnstown,34
Jollys Lookout,74
Jondaryan,384
Jones Gully,14
Jones Hill,895
Josephville,168
Joskeleigh,73
Joyner,2831
Jubilee Heights,141
Jubilee Pocket,1819
Julago,109
Julatten,1090
Julia Creek,510
Junabee,215
Junction View,47
Jundah,100
Kaban,100
Kabra,420
Kagaru,18
Kaimkillenbun,292
Kairabah,0
Kairi,437
Kalapa,89
Kalbar,1087
Kalinga,2124
Kalkadoon,26
Kalkie,2689
Kallangur,20403
Kalpowar,64
Kalunga,95
Kamerunga,1045
Kandanga,660
Kandanga Creek,122
Kangaroo Point (Qld),8063
Kanigan,116
Kanimbla (Qld),2668
Kapaldo,43
Karalee,4348
Karana Downs,3859
Karara,122
Karawatha,16
Karrabin,424
Karragarra Island,204
Karron,0
Karumba,531
Kawana,4422
Kawl Kawl,20
Kawungan,4820
Kearneys Spring,8551
Kedron,9360
Kelsey Creek,125
Kelso (Qld),10539
Kelvin Grove,7926
Kelvinhaugh,44
Kemmis,3
Kenilworth,556
Kenmore,8960
Kenmore Hills,2405
Kennedy,167
Kensington (Qld),568
Kensington Grove,1711
Kents Lagoon,56
Kents Pocket,28
Kentville,103
Keperra,6809
Kepnock,4438
Keppel Sands,361
Keriri Island,263
Kerry,327
Kewarra Beach,5653
Keysland,15
Kholo,394
Khosh Bulduk,46
Kia Ora (Qld),210
Kiamba,194
Kianga (Qld),231
Kidaman Creek,132
Kiels Mountain,663
Kilbirnie,60
Kilcoy,1897
Kilcummin,257
Kilkivan,710
Killaloe,113
Killarney (Qld),956
Kilmorey Falls,0
Kimberley (Qld),36
Kin Kin,758
Kin Kora,2584
Kinbombi,35
Kinchant Dam,122
Kincora,58
Kindon,16
King Scrub,346
Kingaham,17
Kingaroy,10024
Kings Beach,2788
Kings Creek,72
Kings Siding,13
Kingsholme,286
Kingsthorpe,1872
Kingston (Qld),10534
Kinka Beach,623
Kinkuna,115
Kinleymore,91
Kinnoul,75
Kioma,27
Kippa-Ring,9784
Kirknie,60
Kirkwood,2249
Kirrama,14
Kirwan,21420
Kitoba,14
Kleinton,1613
Knapp Creek,60
Koah,605
Kobble Creek,638
Kogan,189
Kokotungo,100
Kolonga,52
Koombooloomba,0
Koongal,4287
Kooralbyn,1732
Kooralgin,46
Kooringal (Qld),43
Kooroomool,0
Kooroongarra,57
Koumala,831
Kowanyama,944
Kowguran,41
Kragra,22
Kulangoor,480
Kulgun,66
Kullogum,120
Kulpi,74
Kuluin,2364
Kumbarilla,191
Kumbia,295
Kunda Park,32
Kunioon,33
Kunwarara,69
Kuraby,8108
Kuranda,3004
Kureelpa,907
Kureen,122
Kuridala,11
Kurrimine Beach,726
Kurrowah,27
Kurumbul,50
Kurwongbah,1433
Kuttabul,729
Kybong,333
Kynuna,53
Kyoomba,88
Labrador,18261
Laceys Creek,278
Laglan,3
Lagoon Pocket,123
Laguna Quays,64
Laidley,3803
Laidley Creek West,151
Laidley Heights,1263
Laidley North,408
Laidley South,273
Lake Barrine,151
Lake Borumba,4
Lake Clarendon,283
Lake Eacham,453
Lake Macdonald,1358
Lake Manchester,20
Lake Mary,100
Lake Monduran,0
Lake Proserpine,11
Lake Tinaroo,0
Lake Wivenhoe,7
Lakefield,13
Lakeland,295
Lakes Creek,552
Lakeside,54
Lamb Island,435
Lamb Range,0
Lamington (Qld),86
Lammermoor,2166
Landers Shoot,256
Landsborough (Qld),3811
Lanefield,103
Langlands,7
Langlo,50
Langshaw,172
Lannercost,123
Lansdowne (Qld),11
Lanskey,65
Larapinta (Qld),0
Laravale,191
Lark Hill,64
Laura (Qld),233
Lavelle,28
Lawes,329
Lawgi Dawes,141
Lawn Hill,20
Lawnton,5660
Leafdale,24
Lefthand Branch,83
Leichhardt (Qld),3914
Lemontree,49
Leslie,15
Leslie Dam,163
Lethebrook,54
Leyburn,481
Leydens Hill,7
Lilydale (Qld),83
Lilyvale (Central Highlands - Qld),51
Lilyvale (Toowoomba - Qld),50
Limestone (Qld),3
Limestone Creek,185
Limestone Ridges,117
Limevale,62
Linden (Qld),21
Linthorpe,441
Linville,156
Little Mountain,10208
Little Mulgrave,246
Lizard,50
Llanarth (Qld),48
Loch Lomond,109
Lochington,62
Lockhart River,723
Lockrose,568
Lockyer (Qld),94
Lockyer Waters,560
Logan Central,5942
Logan Reserve,3521
Logan Village,4418
Loganholme,6303
Loganlea,7324
Lonesome Creek,168
Long Flat (Qld),83
Long Pocket,195
Longreach (Qld),2968
Lota,3257
Lotus Creek,72
Low Isles,0
Lower Beechmont,1045
Lower Cowley,66
Lower Cressbrook,16
Lower Daintree,100
Lower Mount Walker,187
Lower Tenthill,252
Lower Tully,82
Lower Wonga,346
Lowesby,12
Lowestoff,37
Lowmead,159
Lowood,4159
Lucinda,403
Lumeah (Qld),0
Lumholtz,0
Lundavra,98
Luscombe,307
