SSC,population
Boorooma,862
Booroorban,34
Boorowa,1640
Bootawa,174
Booti Booti,0
Booyong,82
Bora Ridge,116
Borah Creek,36
Borambola,105
Border Ranges,0
Boree,95
Boree Creek,201
Borenore,464
Boro,89
Bossley Park,14580
Bostobrick,137
Botany,10822
Botobolar,87
Bottle Creek,24
Bouddi,8
Bourbah,39
Bourke,1915
Bourkelands,2852
Bournda,150
Bournewood,52
Bow Bowing,1603
Bowan Park,113
Bowen Mountain,1572
Bowenfels,2047
Bowling Alley Point,31
Bowman,142
Bowman Farm,45
Bowmans Creek,10
Bowna,108
Bowning,572
Bowral,10331
Bowraville,1120
Box Head,0
Box Hill (NSW),899
Box Ridge,48
Boxers Creek,230
Boydtown,73
Bradbury (NSW),8800
Braefield,63
Braemar,448
Braemar Bay,20
Braidwood,1652
Brandy Hill,669
Branxton,1987
Braunstone,293
Brawboy,21
Bray Park (NSW),793
Brays Creek,70
Brayton,171
Breadalbane (NSW),99
Breakfast Creek,46
Breakfast Point,4190
Bream Beach,16
Bredbo,348
Breelong,63
Breeza,147
Bretti,25
Brewarrina,1147
Brewongle,121
Briarbrook,9
Bribbaree,138
Bridgman,204
Brierfield,330
Brighton-le-Sands,8326
Brightwaters,905
Bril Bril,0
Brimbin,60
Brindabella,24
Brinerville,0
Bringelly,2509
Bringenbrong,50
Brisbane Grove,134
Broadmeadow,1595
Broadwater (Bega Valley - NSW),118
Broadwater (Richmond Valley - NSW),643
Broadway,41
Brobenah,15
Brocklehurst,358
Brocklesby,182
Brockley,43
Brodies Plains,55
Brogans Creek,10
Brogers Creek,43
Brogo,500
Broke (NSW),581
Broken Head,278
Broken Hill,17811
Brombin,114
Bronte,6726
Brookdale (NSW),26
Brookfield (NSW),205
Brooklana,42
Brooklet,254
Brooklyn (NSW),727
Brookong,5
Brookvale,3160
Brooman,27
Brooms Head,211
Broughams Gate,16
Broughton (NSW),91
Broughton Vale,165
Broughton Village,84
Broulee,1717
Brownlow Hill,422
Browns Creek,99
Browns Mountain,20
Brownsville,531
Brucedale,182
Bruie Plains,49
Bruinbun,46
Brumby Plains,0
Brundee,49
Brungle,114
Brungle Creek,28
Brunkerville,202
Brunswick Heads,1738
Brushgrove,200
Brushy Creek,22
Buangla,0
Bucca (NSW),548
Bucca Wauka,81
Buccarumbi,21
