,SSC,variable,value,sortOrder
18258,Jubilee Pocket,$125-149,4,5
18259,Julia Creek,$125-149,12,5
18260,Jundah,$125-149,4,5
18261,Kairi,$125-149,5,5
18262,Kalkie,$125-149,4,5
18263,Kallangur,$125-149,44,5
18264,Kangaroo Point (Qld),$125-149,23,5
18265,Kanimbla (Qld),$125-149,5,5
18266,Kawana,$125-149,22,5
18267,Kawungan,$125-149,6,5
18268,Kearneys Spring,$125-149,32,5
18269,Kedron,$125-149,27,5
18270,Kelso (Qld),$125-149,24,5
18271,Kelvin Grove,$125-149,10,5
18272,Kenmore Hills,$125-149,3,5
18273,Kennedy,$125-149,9,5
18274,Kensington (Qld),$125-149,6,5
18275,Keperra,$125-149,37,5
18276,Kepnock,$125-149,10,5
18277,Keriri Island,$125-149,3,5
18278,Kewarra Beach,$125-149,5,5
18279,Kia Ora (Qld),$125-149,7,5
18280,Kidaman Creek,$125-149,3,5
18281,Kilcoy,$125-149,3,5
18282,Kilkivan,$125-149,9,5
18283,Killarney (Qld),$125-149,8,5
18284,Kin Kora,$125-149,9,5
18285,Kingaroy,$125-149,47,5
18286,Kings Beach,$125-149,5,5
18287,Kingsholme,$125-149,3,5
18288,Kingston (Qld),$125-149,50,5
18289,Kippa-Ring,$125-149,16,5
18290,Kirwan,$125-149,29,5
18291,Koongal,$125-149,14,5
18292,Kooralbyn,$125-149,14,5
18293,Kowanyama,$125-149,14,5
18294,Kuluin,$125-149,5,5
18295,Kuranda,$125-149,16,5
18296,Kybong,$125-149,4,5
18297,Labrador,$125-149,63,5
18298,Laidley,$125-149,13,5
18299,Landsborough (Qld),$125-149,6,5
18300,Laura (Qld),$125-149,9,5
18301,Lawnton,$125-149,20,5
18302,Leichhardt (Qld),$125-149,19,5
18303,Leyburn,$125-149,4,5
18304,Linville,$125-149,3,5
18305,Little Mountain,$125-149,8,5
18306,Lockhart River,$125-149,14,5
18307,Logan Central,$125-149,34,5
18308,Loganholme,$125-149,3,5
18309,Loganlea,$125-149,35,5
18310,Longreach (Qld),$125-149,6,5
18311,Lota,$125-149,6,5
18312,Lowood,$125-149,3,5
18313,Lucinda,$125-149,3,5
18314,Lutwyche,$125-149,8,5
18315,Mabuiag Island,$125-149,5,5
18316,Macgregor (Qld),$125-149,30,5
18317,Mackay,$125-149,35,5
18318,Mackay Harbour,$125-149,4,5
18319,Malanda,$125-149,9,5
18320,Manly (Qld),$125-149,3,5
18321,Manly West,$125-149,12,5
18322,Manoora (Qld),$125-149,42,5
18323,Mansfield (Qld),$125-149,23,5
18324,Manunda,$125-149,28,5
18325,Mapleton,$125-149,3,5
18326,Mapoon,$125-149,9,5
18327,Marburg,$125-149,5,5
18328,Mareeba,$125-149,64,5
18329,Margate (Qld),$125-149,44,5
18330,Maroochydore,$125-149,36,5
18331,Marsden,$125-149,20,5
18332,Maryborough (Qld),$125-149,45,5
18333,Masig Island,$125-149,6,5
18334,McDowall,$125-149,4,5
18335,Meandarra,$125-149,7,5
18336,Menzies (Qld),$125-149,6,5
18337,Mer Island,$125-149,3,5
18338,Mermaid Beach,$125-149,3,5
18339,Mermaid Waters,$125-149,6,5
18340,Merrimac,$125-149,4,5
18341,Miami,$125-149,13,5
18342,Middlemount,$125-149,4,5
18343,Miles,$125-149,8,5
18344,Millbank (Qld),$125-149,16,5
18345,Millmerran,$125-149,7,5
18346,Millstream (Qld),$125-149,3,5
18347,Milton (Qld),$125-149,4,5
18348,Minyama,$125-149,4,5
18349,Mirani,$125-149,6,5
18350,Mission Beach,$125-149,3,5
18351,Mission River,$125-149,39,5
18352,Mitchell (Qld),$125-149,4,5
18353,Mitchelton,$125-149,16,5
18354,Moa Island,$125-149,17,5
18355,Moffat Beach,$125-149,10,5
18356,Molendinar,$125-149,24,5
18357,Monto,$125-149,16,5
18358,Mooloolaba,$125-149,12,5
18359,Moonie,$125-149,3,5
18360,Moore Park Beach,$125-149,3,5
18361,Mooroobool,$125-149,16,5
18362,Moorooka,$125-149,49,5
18363,Moranbah,$125-149,21,5
18364,Morayfield,$125-149,21,5
18365,Morningside,$125-149,31,5
18366,Mornington (Qld),$125-149,9,5
18367,Mossman,$125-149,8,5
18368,Mossman Gorge,$125-149,3,5
18369,Mount Coolum,$125-149,5,5
18370,Mount Garnet,$125-149,6,5
18371,Mount Gravatt,$125-149,17,5
18372,Mount Gravatt East,$125-149,37,5
18373,Mount Lofty,$125-149,4,5
18374,Mount Louisa,$125-149,8,5
18375,Mount Morgan,$125-149,18,5
18376,Mount Perry,$125-149,4,5
18377,Mount Pleasant (Mackay - Qld),$125-149,5,5
18378,Mount Warren Park,$125-149,7,5
18379,Mountain Creek (Qld),$125-149,13,5
18380,Moura,$125-149,10,5
18381,Mourilyan,$125-149,3,5
18382,Mudgeeraba,$125-149,5,5
18383,Mudjimba,$125-149,6,5
18384,Mulgildie,$125-149,3,5
18385,Mundingburra,$125-149,10,5
18386,Mundubbera,$125-149,11,5
18387,Murarrie,$125-149,3,5
18388,Murgon,$125-149,15,5
18389,Murray Upper,$125-149,10,5
18390,Murrumba Downs,$125-149,4,5
18391,Nambour,$125-149,46,5
18392,Nanango,$125-149,26,5
18393,Narangba,$125-149,3,5
18394,Nebo,$125-149,7,5
18395,Nelly Bay,$125-149,3,5
18396,Nerang,$125-149,42,5
18397,New Auckland,$125-149,18,5
18398,New Farm,$125-149,43,5
18399,New Mapoon,$125-149,24,5
18400,Newmarket,$125-149,7,5
18401,Newtown (Ipswich - Qld),$125-149,3,5
18402,Newtown (Toowoomba - Qld),$125-149,40,5
18403,Noosaville,$125-149,4,5
18404,Norman Gardens,$125-149,23,5
18405,Norman Park,$125-149,5,5
18406,Normanton,$125-149,13,5
18407,North Booval,$125-149,11,5
18408,North Ipswich,$125-149,7,5
18409,North Lakes,$125-149,3,5
18410,North Mackay,$125-149,40,5
18411,North Toowoomba,$125-149,10,5
18412,North Ward,$125-149,10,5
18413,Northgate (Qld),$125-149,15,5
18414,Norville,$125-149,4,5
18415,Nudgee,$125-149,4,5
18416,Nundah,$125-149,29,5
18417,Oakey,$125-149,4,5
18418,One Mile (Qld),$125-149,3,5
18419,Oonoonba,$125-149,4,5
18420,Ormiston,$125-149,5,5
18421,Osborne (Qld),$125-149,3,5
18422,Oxenford,$125-149,8,5
18423,Oxley (Qld),$125-149,12,5
18424,Paddington (Qld),$125-149,10,5
18425,Palm Beach (Qld),$125-149,11,5
18426,Palm Cove,$125-149,3,5
18427,Palm Island,$125-149,62,5
18428,Paradise Point,$125-149,5,5
18429,Park Avenue,$125-149,5,5
18430,Park Ridge,$125-149,9,5
18431,Parkhurst,$125-149,3,5
18432,Parkinson,$125-149,7,5
18433,Parkside (Qld),$125-149,4,5
18434,Parkwood (Qld),$125-149,10,5
18435,Parramatta Park,$125-149,25,5
18436,Parrearra,$125-149,10,5
18437,Petrie,$125-149,6,5
18438,Pialba,$125-149,19,5
18439,Picnic Bay,$125-149,4,5
18440,Pimlico (Qld),$125-149,25,5
18441,Pimpama,$125-149,5,5
18442,Pioneer (Qld),$125-149,20,5
18443,Pittsworth,$125-149,4,5
18444,Point Arkwright,$125-149,3,5
18445,Point Lookout,$125-149,5,5
18446,Point Vernon,$125-149,10,5
18447,Pomona (Qld),$125-149,5,5
18448,Pormpuraaw,$125-149,23,5
18449,Port Douglas,$125-149,8,5
18450,Poruma Island,$125-149,4,5
18451,Proserpine,$125-149,23,5
18452,Queenton,$125-149,8,5
18453,Quilpie,$125-149,23,5
18454,Raceview,$125-149,24,5
18455,Railway Estate,$125-149,14,5
18456,Rainbow Beach,$125-149,5,5
18457,Rangeville,$125-149,12,5
18458,Rasmussen,$125-149,21,5
18459,Ravenshoe,$125-149,4,5
18460,Ravenswood (Qld),$125-149,5,5
18461,Red Hill (Brisbane - Qld),$125-149,10,5
18462,Redbank (Qld),$125-149,3,5
18463,Redbank Plains,$125-149,5,5
18464,Redcliffe (Qld),$125-149,40,5
18465,Redland Bay,$125-149,8,5
18466,Redlynch,$125-149,4,5
18467,Reesville,$125-149,3,5
18468,Regents Park (Qld),$125-149,6,5
18469,Richmond (Richmond - Qld),$125-149,7,5
18470,Richmond Hill (Qld),$125-149,11,5
18471,Riverview (Qld),$125-149,27,5
18472,Robertson (Qld),$125-149,10,5
18473,Robina,$125-149,14,5
18474,Rochedale South,$125-149,13,5
18475,Rockhampton City,$125-149,8,5
18476,Rocklea (Qld),$125-149,5,5
18477,Rockville,$125-149,13,5
18478,Roma,$125-149,25,5
18479,Rosenthal Heights,$125-149,6,5
18480,Rothwell,$125-149,23,5
18481,Runaway Bay,$125-149,8,5
18482,Runcorn,$125-149,16,5
18483,Rural View,$125-149,5,5
18484,Russell Island,$125-149,5,5
18485,Salisbury (Qld),$125-149,15,5
18486,Sandgate (Qld),$125-149,16,5
18487,Sandstone Point,$125-149,4,5
18488,Sarina,$125-149,6,5
18489,Scarborough (Qld),$125-149,44,5
18490,Scarness,$125-149,14,5
18491,Seisia,$125-149,8,5
18492,Seven Hills (Qld),$125-149,6,5
18493,Shailer Park,$125-149,8,5
18494,Sherwood (Qld),$125-149,6,5
18495,Shorncliffe,$125-149,7,5
18496,Silkstone,$125-149,10,5
18497,Sippy Downs,$125-149,7,5
18498,Slacks Creek,$125-149,34,5
18499,Slade Point,$125-149,7,5
18500,Smithfield (Qld),$125-149,3,5
18501,Soldiers Hill (Qld),$125-149,4,5
18502,South Brisbane,$125-149,10,5
18503,South Gladstone,$125-149,32,5
18504,South Johnstone,$125-149,3,5
18505,South Mackay,$125-149,26,5
18506,South Toowoomba,$125-149,23,5
18507,South Townsville,$125-149,5,5
18508,Southport (Qld),$125-149,90,5
18509,Southside,$125-149,16,5
18510,Spring Hill (Qld),$125-149,30,5
18511,Springfield Lakes,$125-149,3,5
18512,Springsure,$125-149,11,5
18513,Springwood (Qld),$125-149,6,5
18514,St George (Qld),$125-149,16,5
18515,St Lucia,$125-149,16,5
18516,Stafford,$125-149,39,5
18517,Stafford Heights,$125-149,32,5
18518,Stanthorpe,$125-149,31,5
18519,Stratford (Qld),$125-149,3,5
18520,Strathpine,$125-149,16,5
18521,Sunnybank,$125-149,27,5
18522,Sunnybank Hills,$125-149,30,5
18523,Sunrise Beach,$125-149,4,5
18524,Sunset,$125-149,4,5
18525,Surat,$125-149,5,5
18526,Surfers Paradise,$125-149,28,5
18527,Svensson Heights,$125-149,23,5
18528,Taigum,$125-149,12,5
18529,Takura,$125-149,5,5
18530,Tallebudgera Valley,$125-149,3,5
18531,Tambo,$125-149,6,5
18532,Tamborine Mountain,$125-149,4,5
18533,Tanah Merah,$125-149,3,5
18534,Tannum Sands,$125-149,11,5
18535,Tansey,$125-149,4,5
18536,Tara (Qld),$125-149,8,5
18537,Taringa,$125-149,15,5
18538,Taroom,$125-149,4,5
18539,Tarragindi,$125-149,5,5
18540,Teneriffe,$125-149,4,5
18541,Tewantin,$125-149,18,5
18542,Texas (Qld),$125-149,11,5
18543,Thabeban,$125-149,18,5
18544,Thargomindah,$125-149,9,5
18545,The Caves,$125-149,4,5
18546,The Gap (Brisbane - Qld),$125-149,4,5
18547,The Gemfields,$125-149,3,5
18548,Theodore (Qld),$125-149,8,5
18549,Thorneside,$125-149,5,5
18550,Thornlands,$125-149,4,5
18551,Thursday Island,$125-149,16,5
18552,Tin Can Bay,$125-149,12,5
18553,Tinana,$125-149,7,5
18554,Tingalpa,$125-149,7,5
18555,Tolga,$125-149,4,5
18556,Toll,$125-149,3,5
18557,Toogoolawah,$125-149,6,5
18558,Toolooa,$125-149,14,5
18559,Toowong,$125-149,21,5
18560,Toowoomba City,$125-149,18,5
18561,Torbanlea,$125-149,6,5
18562,Torquay (Qld),$125-149,12,5
18563,Towers Hill,$125-149,3,5
18564,Townsville City,$125-149,6,5
18565,Townview,$125-149,11,5
18566,Trinity Beach,$125-149,4,5
18567,Trinity Park,$125-149,8,5
18568,Tugun,$125-149,5,5
18569,Tully,$125-149,10,5
18570,Umagico,$125-149,19,5
18571,Underwood (Qld),$125-149,8,5
18572,Upper Caboolture,$125-149,4,5
18573,Upper Coomera,$125-149,9,5
18574,Upper Mount Gravatt,$125-149,8,5
18575,Urangan,$125-149,19,5
18576,Urraween,$125-149,7,5
18577,Varsity Lakes,$125-149,26,5
18578,Victoria Point (Qld),$125-149,21,5
18579,Villeneuve,$125-149,4,5
18580,Vincent,$125-149,14,5
18581,Wacol,$125-149,4,5
18582,Walkervale,$125-149,8,5
18583,Wallangarra,$125-149,3,5
18584,Wamuran,$125-149,5,5
18585,Wandal,$125-149,4,5
18586,Warana,$125-149,3,5
18587,Warraber Islet,$125-149,3,5
18588,Warwick (Qld),$125-149,87,5
18589,Waterford West,$125-149,31,5
18590,Wavell Heights,$125-149,5,5
18591,Wellesley Islands,$125-149,32,5
18592,Wellington Point,$125-149,7,5
18593,West End (Brisbane - Qld),$125-149,26,5
18594,West End (Townsville - Qld),$125-149,12,5
18595,West Gladstone,$125-149,49,5
18596,West Mackay,$125-149,25,5
18597,West Rockhampton,$125-149,13,5
18598,Westcourt,$125-149,18,5
18599,White Rock (Cairns - Qld),$125-149,20,5
18600,Whitfield (Qld),$125-149,8,5
18601,Whitsundays,$125-149,7,5
18602,Willowbank,$125-149,3,5
18603,Willows,$125-149,5,5
18604,Wilsonton,$125-149,13,5
18605,Wilsonton Heights,$125-149,15,5
18606,Windsor (Qld),$125-149,18,5
18607,Winston,$125-149,6,5
18608,Winton (Qld),$125-149,8,5
18609,Wishart (Qld),$125-149,8,5
18610,Womina,$125-149,4,5
18611,Wondai,$125-149,6,5
18612,Wongaling Beach,$125-149,3,5
18613,Woodend (Qld),$125-149,5,5
18614,Woodgate,$125-149,3,5
18615,Woodridge (Qld),$125-149,53,5
18616,Woody Point,$125-149,11,5
18617,Woolloongabba,$125-149,32,5
18618,Woolmar,$125-149,3,5
18619,Woolooga,$125-149,5,5
18620,Wooloowin,$125-149,13,5
18621,Woombye,$125-149,8,5
18622,Woorabinda,$125-149,27,5
18623,Woorim,$125-149,6,5
18624,Woree,$125-149,16,5
18625,Worongary,$125-149,9,5
18626,Wujal Wujal,$125-149,13,5
18627,Wulguru,$125-149,20,5
18628,Wynnum,$125-149,34,5
18629,Wynnum West,$125-149,29,5
18630,Yamanto,$125-149,4,5
18631,Yandina,$125-149,3,5
18632,Yarrabah,$125-149,23,5
18633,Yarraman (Qld),$125-149,11,5
18634,Yeerongpilly,$125-149,5,5
18635,Yelarbon,$125-149,5,5
18636,Yeppoon,$125-149,35,5
18637,Yeronga,$125-149,23,5
18638,Yorkeys Knob,$125-149,8,5
18639,Zillmere,$125-149,52,5
18640,Aberfoyle Park,$125-149,9,5
18641,Adelaide,$125-149,77,5
18642,Albert Park (SA),$125-149,9,5
18643,Alberton (SA),$125-149,4,5
18644,Aldinga Beach,$125-149,7,5
18645,Allenby Gardens,$125-149,3,5
18646,Andrews Farm,$125-149,8,5
18647,Angaston,$125-149,6,5
18648,Angle Park,$125-149,16,5
18649,Ardrossan,$125-149,3,5
18650,Ascot Park,$125-149,20,5
18651,Athelstone,$125-149,4,5
18652,Athol Park,$125-149,15,5
18653,Auburn (SA),$125-149,9,5
18654,Balaklava,$125-149,9,5
18655,Barmera,$125-149,38,5
18656,Bedford Park,$125-149,11,5
18657,Belair,$125-149,3,5
18658,Berri,$125-149,34,5
18659,Beverley (SA),$125-149,3,5
18660,Birkenhead,$125-149,6,5
18661,Black Forest,$125-149,9,5
18662,Blackwood (SA),$125-149,4,5
18663,Blair Athol (SA),$125-149,15,5
18664,Blakeview,$125-149,4,5
18665,Bolivar,$125-149,5,5
18666,Bookpurnong,$125-149,4,5
18667,Booleroo Centre,$125-149,3,5
18668,Bordertown,$125-149,20,5
18669,Bowden,$125-149,5,5
18670,Brahma Lodge,$125-149,11,5
18671,Brentwood (SA),$125-149,4,5
18672,Broadview,$125-149,15,5
18673,Brompton,$125-149,19,5
18674,Brooklyn Park,$125-149,13,5
18675,Burdett,$125-149,17,5
18676,Burnside (SA),$125-149,4,5
18677,Burra (SA),$125-149,3,5
18678,Burton (SA),$125-149,3,5
18679,Cadell,$125-149,10,5
18680,Camden Park (SA),$125-149,13,5
18681,Campbelltown (SA),$125-149,37,5
18682,Cannawigara,$125-149,5,5
18683,Ceduna,$125-149,15,5
18684,Cheltenham (SA),$125-149,3,5
18685,Christie Downs,$125-149,66,5
18686,Christies Beach,$125-149,13,5
18687,Clare (SA),$125-149,14,5
18688,Clarence Gardens,$125-149,7,5
18689,Clearview,$125-149,14,5
18690,Cleve,$125-149,5,5
18691,Clovelly Park,$125-149,6,5
18692,Collinswood,$125-149,8,5
18693,Colonel Light Gardens,$125-149,3,5
18694,Coober Pedy,$125-149,20,5
18695,Coonalpyn,$125-149,3,5
18696,Cowandilla,$125-149,7,5
18697,Cowell,$125-149,3,5
18698,Crafers,$125-149,7,5
18699,Craigmore,$125-149,5,5
18700,Croydon (SA),$125-149,5,5
18701,Croydon Park (SA),$125-149,9,5
18702,Crystal Brook (SA),$125-149,15,5
18703,Cumberland Park,$125-149,6,5
18704,Cummins,$125-149,12,5
18705,Darlington (SA),$125-149,5,5
18706,Davoren Park,$125-149,43,5
18707,Daw Park,$125-149,8,5
18708,Devon Park (SA),$125-149,6,5
18709,Dover Gardens,$125-149,20,5
18710,Dudley Park (SA),$125-149,7,5
18711,Dulwich,$125-149,3,5
18712,Duncan,$125-149,3,5
18713,Edwardstown,$125-149,26,5
18714,Elizabeth,$125-149,8,5
18715,Elizabeth Downs,$125-149,19,5
18716,Elizabeth East,$125-149,44,5
18717,Elizabeth Grove,$125-149,21,5
18718,Elizabeth North,$125-149,24,5
18719,Elizabeth Park,$125-149,29,5
18720,Elizabeth South,$125-149,36,5
18721,Elizabeth Vale,$125-149,71,5
18722,Elliston,$125-149,6,5
18723,Encounter Bay,$125-149,24,5
18724,Enfield (SA),$125-149,15,5
18725,Ethelton,$125-149,8,5
18726,Eudunda,$125-149,4,5
18727,Evandale (SA),$125-149,4,5
18728,Evanston,$125-149,8,5
18729,Evanston Gardens,$125-149,4,5
18730,Everard Park,$125-149,6,5
18731,Felixstow,$125-149,13,5
18732,Ferryden Park,$125-149,38,5
18733,Findon,$125-149,20,5
18734,Firle,$125-149,5,5
18735,Fitzroy (SA),$125-149,4,5
18736,Flagstaff Hill,$125-149,5,5
18737,Flinders Park,$125-149,5,5
18738,Forestville (SA),$125-149,6,5
18739,Fullarton,$125-149,7,5
18740,Gawler East,$125-149,6,5
18741,Gawler South,$125-149,8,5
18742,Gawler West,$125-149,11,5
18743,Gepps Cross,$125-149,3,5
18744,Geranium,$125-149,4,5
18745,Gilberton (SA),$125-149,9,5
18746,Gilles Plains,$125-149,35,5
18747,Gladstone (SA),$125-149,3,5
18748,Glandore,$125-149,11,5
18749,Glenelg (SA),$125-149,9,5
18750,Glenelg East,$125-149,4,5
18751,Glenelg North,$125-149,9,5
18752,Glenelg South,$125-149,6,5
18753,Glengowrie,$125-149,8,5
18754,Glenside,$125-149,18,5
18755,Glossop,$125-149,5,5
18756,Glynde,$125-149,10,5
18757,Golden Grove,$125-149,18,5
18758,Golden Heights,$125-149,4,5
18759,Goodwood (SA),$125-149,4,5
18760,Goolwa,$125-149,10,5
18761,Goolwa North,$125-149,4,5
18762,Grange (SA),$125-149,10,5
18763,Greenacres,$125-149,8,5
18764,Greenwith,$125-149,30,5
18765,Gulfview Heights,$125-149,3,5
18766,Gumeracha,$125-149,6,5
18767,Hackham,$125-149,4,5
18768,Hackham West,$125-149,21,5
18769,Hackney,$125-149,8,5
18770,Hallett Cove,$125-149,3,5
18771,Hampstead Gardens,$125-149,30,5
18772,Hatherleigh,$125-149,4,5
18773,Hawker (SA),$125-149,11,5
18774,Hawthorn (SA),$125-149,12,5
18775,Hayborough,$125-149,5,5
18776,Hazelwood Park,$125-149,4,5
18777,Hectorville,$125-149,18,5
18778,Henley Beach,$125-149,18,5
18779,Henley Beach South,$125-149,12,5
18780,Hillbank,$125-149,3,5
18781,Hillcrest (SA),$125-149,15,5
18782,Hillier,$125-149,9,5
18783,Hilton (SA),$125-149,3,5
18784,Hindmarsh (SA),$125-149,4,5
18785,Hindmarsh Valley,$125-149,5,5
18786,Holden Hill,$125-149,15,5
18787,Hope Valley (SA),$125-149,6,5
18788,Hove,$125-149,7,5
18789,Huntfield Heights,$125-149,13,5
18790,Hyde Park (SA),$125-149,5,5
18791,Ingle Farm,$125-149,28,5
18792,Inman Valley,$125-149,4,5
18793,Iron Knob,$125-149,4,5
18794,Jamestown,$125-149,6,5
18795,Kadina,$125-149,9,5
18796,Kalangadoo,$125-149,10,5
18797,Kaltjiti,$125-149,3,5
18798,Kapunda,$125-149,4,5
18799,Karatta,$125-149,5,5
18800,Karoonda,$125-149,3,5
18801,Keith,$125-149,12,5
18802,Kensington (SA),$125-149,9,5
18803,Kensington Gardens,$125-149,3,5
18804,Kent Town,$125-149,9,5
18805,Kersbrook,$125-149,5,5
18806,Keswick,$125-149,3,5
18807,Kidman Park,$125-149,7,5
18808,Kilburn,$125-149,41,5
18809,Kilkenny,$125-149,7,5
18810,Kimba,$125-149,7,5
18811,Kingscote,$125-149,18,5
18812,Kingston Se,$125-149,19,5
18813,Kingswood (SA),$125-149,7,5
18814,Klemzig,$125-149,23,5
18815,Koolunga,$125-149,3,5
18816,Kurralta Park,$125-149,15,5
18817,Lameroo,$125-149,6,5
18818,Largs Bay,$125-149,6,5
18819,Largs North,$125-149,13,5
18820,Linden Park,$125-149,4,5
18821,Lobethal,$125-149,10,5
18822,Lock,$125-149,6,5
18823,Lockleys,$125-149,7,5
18824,Lower Mitcham,$125-149,3,5
18825,Loxton,$125-149,38,5
18826,Loxton North,$125-149,6,5
18827,Lucindale,$125-149,9,5
18828,Lyndoch,$125-149,7,5
18829,Magill,$125-149,33,5
18830,Maitland (SA),$125-149,9,5
18831,Mallala,$125-149,4,5
18832,Mannum,$125-149,18,5
18833,Manoora (SA),$125-149,4,5
18834,Mansfield Park,$125-149,19,5
18835,Marden,$125-149,6,5
18836,Marion,$125-149,19,5
18837,Marleston,$125-149,8,5
18838,Mawson Lakes,$125-149,7,5
18839,Maylands (SA),$125-149,8,5
18840,McCracken,$125-149,4,5
18841,McLaren Vale,$125-149,5,5
18842,Melrose Park (SA),$125-149,9,5
18843,Meningie,$125-149,5,5
18844,Milang,$125-149,3,5
18845,Mile End,$125-149,24,5
18846,Millicent,$125-149,108,5
18847,Minlaton,$125-149,13,5
18848,Minnipa,$125-149,3,5
18849,Mitcham (SA),$125-149,3,5
18850,Mitchell Park (SA),$125-149,57,5
18851,Moana,$125-149,6,5
18852,Modbury,$125-149,5,5
18853,Modbury Heights,$125-149,6,5
18854,Modbury North,$125-149,3,5
18855,Moonta,$125-149,4,5
18856,Moonta Bay,$125-149,5,5
18857,Moorook,$125-149,3,5
18858,Morphett Vale,$125-149,79,5
18859,Morphettville,$125-149,28,5
18860,Mount Barker (SA),$125-149,40,5
18861,Mount Compass,$125-149,5,5
18862,Mount Gambier,$125-149,336,5
18863,Mount Pleasant (SA),$125-149,8,5
18864,Mount Schank,$125-149,3,5
18865,Munno Para,$125-149,24,5
18866,Munno Para West,$125-149,4,5
18867,Murray Bridge,$125-149,85,5
18868,Murtho,$125-149,3,5
18869,Myrtle Bank (SA),$125-149,5,5
18870,Nailsworth,$125-149,9,5
18871,Nairne,$125-149,3,5
18872,Nangwarry,$125-149,3,5
18873,Naracoorte,$125-149,65,5
18874,Narrung (SA),$125-149,5,5
18875,Netley,$125-149,3,5
18876,New Town (SA),$125-149,4,5
18877,Newton,$125-149,4,5
18878,Noarlunga Downs,$125-149,32,5
18879,North Adelaide,$125-149,4,5
18880,North Brighton,$125-149,3,5
18881,North Haven (SA),$125-149,3,5
18882,North Plympton,$125-149,16,5
18883,Northfield,$125-149,36,5
18884,Northgate (SA),$125-149,7,5
18885,Norwood (SA),$125-149,20,5
18886,Novar Gardens,$125-149,14,5
18887,Nuriootpa,$125-149,17,5
18888,O'Sullivan Beach,$125-149,9,5
18889,Oakden,$125-149,15,5
18890,Oaklands Park,$125-149,47,5
18891,Orroroo,$125-149,5,5
18892,Osborne (SA),$125-149,11,5
18893,Ottoway,$125-149,12,5
18894,Ovingham,$125-149,6,5
18895,Owen,$125-149,4,5
18896,Padthaway,$125-149,4,5
18897,Panorama,$125-149,3,5
18898,Para Hills,$125-149,7,5
18899,Para Hills West,$125-149,15,5
18900,Para Vista,$125-149,9,5
18901,Paradise (SA),$125-149,17,5
18902,Parafield Gardens,$125-149,59,5
18903,Paralowie,$125-149,22,5
18904,Paringa,$125-149,12,5
18905,Park Holme,$125-149,26,5
18906,Parkside (SA),$125-149,3,5
18907,Pasadena,$125-149,3,5
18908,Paskeville,$125-149,5,5
18909,Payneham,$125-149,12,5
18910,Payneham South,$125-149,6,5
18911,Penfield,$125-149,7,5
18912,Pennington,$125-149,28,5
18913,Penola,$125-149,9,5
18914,Peterborough (SA),$125-149,34,5
18915,Peterhead,$125-149,7,5
18916,Pinnaroo,$125-149,3,5
18917,Plympton,$125-149,20,5
18918,Plympton Park,$125-149,17,5
18919,Poonindie,$125-149,3,5
18920,Pooraka,$125-149,30,5
18921,Port Adelaide,$125-149,16,5
18922,Port Augusta,$125-149,98,5
18923,Port Augusta West,$125-149,40,5
18924,Port Broughton,$125-149,10,5
18925,Port Elliot,$125-149,6,5
18926,Port Lincoln,$125-149,75,5
18927,Port Macdonnell,$125-149,8,5
18928,Port Noarlunga,$125-149,14,5
18929,Port Pirie,$125-149,7,5
18930,Port Pirie South,$125-149,39,5
18931,Port Pirie West,$125-149,49,5
18932,Port Victoria,$125-149,3,5
18933,Port Vincent,$125-149,4,5
18934,Port Wakefield,$125-149,6,5
18935,Prospect (SA),$125-149,36,5
18936,Queenstown (SA),$125-149,8,5
18937,Quorn,$125-149,10,5
18938,Redwood Park,$125-149,3,5
18939,Renmark,$125-149,45,5
18940,Renmark West,$125-149,10,5
18941,Renown Park,$125-149,18,5
18942,Reynella,$125-149,4,5
18943,Richmond (SA),$125-149,17,5
18944,Ridgehaven,$125-149,8,5
18945,Ridleyton,$125-149,7,5
18946,Risdon Park,$125-149,28,5
18947,Risdon Park South,$125-149,18,5
18948,Riverton (SA),$125-149,7,5
18949,Robe,$125-149,3,5
18950,Robertstown,$125-149,5,5
18951,Rose Park,$125-149,9,5
18952,Rosewater,$125-149,9,5
18953,Rostrevor,$125-149,15,5
18954,Roxby Downs,$125-149,94,5
18955,Royal Park,$125-149,11,5
18956,Royston Park,$125-149,4,5
18957,Saddleworth,$125-149,7,5
18958,Salisbury (SA),$125-149,35,5
18959,Salisbury Downs,$125-149,39,5
18960,Salisbury East,$125-149,18,5
18961,Salisbury Heights,$125-149,3,5
18962,Salisbury North,$125-149,36,5
18963,Salisbury Park,$125-149,11,5
18964,Seacliff,$125-149,8,5
18965,Seacombe Gardens,$125-149,16,5
18966,Seaford (SA),$125-149,3,5
18967,Seaford Meadows,$125-149,6,5
18968,Seaford Rise,$125-149,17,5
18969,Seaton (SA),$125-149,46,5
18970,Seaview Downs,$125-149,7,5
18971,Semaphore,$125-149,3,5
18972,Semaphore Park,$125-149,63,5
18973,Smithfield (SA),$125-149,8,5
18974,Smithfield Plains,$125-149,30,5
18975,Smoky Bay,$125-149,3,5
18976,Snowtown,$125-149,8,5
18977,Solomontown,$125-149,9,5
18978,Somerton Park,$125-149,26,5
18979,South Brighton,$125-149,8,5
18980,South Plympton,$125-149,11,5
18981,Spalding (SA),$125-149,3,5
18982,St Clair (SA),$125-149,5,5
18983,St Marys (SA),$125-149,11,5
18984,St Morris,$125-149,3,5
18985,St Peters (SA),$125-149,3,5
18986,Stepney,$125-149,3,5
18987,Stirling North,$125-149,6,5
