,SSC,variable,value,sortOrder
65,Back Creek (Bland - NSW),Nil-Payments,8,1
66,Badgerys Creek,Nil-Payments,3,1
67,Balaclava (NSW),Nil-Payments,3,1
68,Balala,Nil-Payments,3,1
69,Balcolyn,Nil-Payments,4,1
70,Bald Blair,Nil-Payments,7,1
71,Baldry,Nil-Payments,5,1
72,Balgowlah,Nil-Payments,29,1
73,Balgowlah Heights,Nil-Payments,3,1
74,Balgownie,Nil-Payments,9,1
75,Balladoran,Nil-Payments,4,1
76,Ballimore,Nil-Payments,5,1
77,Ballina,Nil-Payments,26,1
78,Balmain,Nil-Payments,37,1
79,Balmain East,Nil-Payments,7,1
80,Balranald,Nil-Payments,22,1
81,Bangalee (NSW),Nil-Payments,6,1
82,Bangalow,Nil-Payments,5,1
83,Bangheet,Nil-Payments,3,1
84,Bango,Nil-Payments,5,1
85,Bangor (NSW),Nil-Payments,4,1
86,Banksia,Nil-Payments,9,1
87,Bankstown,Nil-Payments,112,1
88,Banora Point,Nil-Payments,31,1
89,Baradine,Nil-Payments,13,1
90,Barden Ridge,Nil-Payments,9,1
91,Bardwell Park,Nil-Payments,3,1
92,Bardwell Valley,Nil-Payments,3,1
93,Barellan,Nil-Payments,3,1
94,Bargo,Nil-Payments,8,1
95,Barham,Nil-Payments,20,1
96,Barigan,Nil-Payments,3,1
97,Barkers Vale,Nil-Payments,4,1
98,Barmedman,Nil-Payments,11,1
99,Barnsley,Nil-Payments,5,1
100,Barooga,Nil-Payments,12,1
101,Barraba,Nil-Payments,12,1
102,Barrack Heights,Nil-Payments,10,1
103,Barrington (NSW),Nil-Payments,6,1
104,Barry (Blayney - NSW),Nil-Payments,5,1
105,Barwang,Nil-Payments,6,1
106,Barwon,Nil-Payments,5,1
107,Baryulgil,Nil-Payments,27,1
108,Bass Hill,Nil-Payments,29,1
109,Bateau Bay,Nil-Payments,27,1
110,Batehaven,Nil-Payments,6,1
111,Batemans Bay,Nil-Payments,3,1
112,Bathurst,Nil-Payments,27,1
113,Batlow,Nil-Payments,10,1
114,Baulkham Hills,Nil-Payments,49,1
115,Bawley Point,Nil-Payments,6,1
116,Bayview (NSW),Nil-Payments,3,1
117,Beacon Hill,Nil-Payments,10,1
118,Bearbong,Nil-Payments,3,1
119,Beaumont Hills,Nil-Payments,7,1
120,Beckom,Nil-Payments,4,1
121,Bective,Nil-Payments,3,1
122,Bedgerabong,Nil-Payments,6,1
123,Beechwood,Nil-Payments,3,1
124,Beecroft,Nil-Payments,16,1
125,Beelbangera,Nil-Payments,4,1
