"","SSC","variable","value"
"263","Bellangry","Buddhism",0
"264","Bellata","Buddhism",0
"265","Bellawongarah","Buddhism",0
"266","Bellbird","Buddhism",8
"267","Bellbird Heights","Buddhism",5
"268","Bellbrook","Buddhism",0
"269","Bellevue Hill","Buddhism",114
"270","Bellimbopinni","Buddhism",3
"271","Bellingen","Buddhism",72
"272","Bellmount Forest","Buddhism",0
"273","Belltrees","Buddhism",0
"274","Belmont (NSW)","Buddhism",44
"275","Belmont North","Buddhism",46
"276","Belmont South","Buddhism",7
"277","Belmore","Buddhism",693
"278","Belmore River","Buddhism",3
"279","Beloka","Buddhism",0
"280","Belowra","Buddhism",0
"281","Belrose","Buddhism",76
"282","Bemboka","Buddhism",7
"283","Ben Bullen","Buddhism",0
"284","Ben Lomond (NSW)","Buddhism",0
"285","Benandarah","Buddhism",5
"286","Bendalong","Buddhism",0
"287","Bendemeer","Buddhism",0
"288","Bendick Murrell","Buddhism",0
"289","Bendolba","Buddhism",0
"290","Bendoura","Buddhism",0
"291","Benerembah","Buddhism",0
"292","Bengalla","Buddhism",0
"293","Bennetts Green","Buddhism",0
"294","Benolong","Buddhism",0
"295","Bensville","Buddhism",19
"296","Bentley (NSW)","Buddhism",0
"297","Berala","Buddhism",1218
"298","Berambing","Buddhism",4
"299","Beresfield","Buddhism",30
"300","Bergalia","Buddhism",0
"301","Berkeley","Buddhism",130
"302","Berkeley Vale","Buddhism",49
"303","Berkshire Park","Buddhism",7
"304","Berlang","Buddhism",0
"305","Bermagui","Buddhism",21
"306","Berowra","Buddhism",68
"307","Berowra Creek","Buddhism",0
"308","Berowra Heights","Buddhism",65
"309","Berowra Waters","Buddhism",0
"310","Berrambool","Buddhism",3
"311","Berrara","Buddhism",0
"312","Berremangra","Buddhism",0
"313","Berrico","Buddhism",0
"314","Berridale","Buddhism",10
"315","Berrigal","Buddhism",0
"316","Berrigan","Buddhism",3
"317","Berrilee","Buddhism",8
"318","Berrima","Buddhism",8
"319","Berringer Lake","Buddhism",0
"320","Berry","Buddhism",14
"321","Berry Jerry","Buddhism",0
"322","Berry Mountain","Buddhism",0
"323","Berry Park","Buddhism",0
"324","Berthong","Buddhism",0
"325","Beryl","Buddhism",0
"326","Bethungra","Buddhism",0
"327","Bevendale","Buddhism",0
"328","Beverley Park","Buddhism",48
"329","Beverly Hills","Buddhism",634
"330","Bewong","Buddhism",0
"331","Bexhill","Buddhism",4
"332","Bexley","Buddhism",525
"333","Bexley North","Buddhism",169
"334","Biala","Buddhism",0
"335","Bibbenluke","Buddhism",0
"336","Biddon","Buddhism",0
"337","Bidgeemia","Buddhism",0
"338","Bidwill (NSW)","Buddhism",40
"339","Bielsdown Hills","Buddhism",0
"340","Big Hill (NSW)","Buddhism",0
"341","Big Jacks Creek","Buddhism",0
"342","Big Ridge","Buddhism",0
"343","Big Springs","Buddhism",0
"344","Bigga","Buddhism",0
"345","Bilambil","Buddhism",4
"346","Bilambil Heights","Buddhism",39
"347","Bilbul","Buddhism",0
"348","Bilgola Beach","Buddhism",4
"349","Bilgola Plateau","Buddhism",19
"350","Billeroy","Buddhism",0
"351","Billilingra","Buddhism",0
"352","Billimari","Buddhism",0
"353","Billinudgel","Buddhism",9
"354","Billys Creek","Buddhism",0
"355","Billywillinga","Buddhism",0
"356","Bilpin","Buddhism",12
"357","Bimberi","Buddhism",0
"358","Bimbi","Buddhism",0
"359","Bimbimbie","Buddhism",3
"360","Binalong","Buddhism",0
"361","Binda","Buddhism",0
"362","Bindera","Buddhism",0
"363","Bingara","Buddhism",0
"364","Bingeebeebra Creek","Buddhism",0
"365","Bingie","Buddhism",4
"366","Bingleburra","Buddhism",0
"367","Biniguy","Buddhism",0
"368","Binjura","Buddhism",3
"369","Binna Burra (NSW)","Buddhism",0
"370","Binnaway","Buddhism",0
"371","Binya","Buddhism",0
"372","Birchgrove","Buddhism",43
"373","Birdwood (NSW)","Buddhism",0
"374","Birganbigil","Buddhism",0
"375","Birmingham Gardens","Buddhism",60
"376","Birriwa","Buddhism",0
"377","Birrong","Buddhism",510
"378","Bishops Bridge","Buddhism",0
"379","Bithramere","Buddhism",0
"380","Black Creek (Port Macquarie-Hastings - NSW)","Buddhism",0
"381","Black Creek (Snowy Valleys - NSW)","Buddhism",0
"382","Black Head","Buddhism",12
"383","Black Hill (NSW)","Buddhism",0
"384","Black Hollow","Buddhism",0
"385","Black Mountain (NSW)","Buddhism",5
"386","Black Range (NSW)","Buddhism",3
"387","Black Springs (NSW)","Buddhism",0
"388","Blackalls Park","Buddhism",17
"389","Blackbutt (NSW)","Buddhism",32
