"","V1","SSC","variable","value"
"271","1391","Elderslie (Camden - NSW)","Train",43
"272","1393","Eleebana","Train",13
"273","1394","Elermore Vale","Train",7
"274","1395","Elizabeth Bay","Train",869
"275","1397","Elizabeth Hills","Train",44
"276","1405","Ellis Lane","Train",4
"277","1407","Elrington","Train",4
"278","1413","Emerton","Train",31
"279","1415","Empire Bay","Train",59
"280","1417","Emu Heights (NSW)","Train",105
"281","1418","Emu Plains","Train",305
"282","1421","Enfield (NSW)","Train",127
"283","1422","Engadine","Train",847
"284","1423","Englorie Park","Train",21
"285","1425","Enmore (Inner West - NSW)","Train",534
"286","1428","Epping (NSW)","Train",2890
"287","1433","Erina","Train",47
"288","1435","Ermington","Train",222
"289","1438","Erskine Park","Train",143
"290","1439","Erskineville","Train",2048
"291","1441","Eschol Park","Train",78
"292","1445","Ettalong Beach","Train",134
"293","1471","Eveleigh","Train",101
"294","1475","Exeter (NSW)","Train",9
"295","1477","Fairfield (NSW)","Train",785
"296","1478","Fairfield East","Train",182
"297","1479","Fairfield Heights","Train",193
"298","1480","Fairfield West","Train",251
"299","1484","Fairy Meadow","Train",99
"300","1488","Far Meadow","Train",3
"301","1491","Farmborough Heights","Train",40
"302","1495","Fassifern (NSW)","Train",3
"303","1496","Faulconbridge","Train",154
"304","1500","Fennell Bay","Train",7
"305","1501","Fern Bay","Train",5
"306","1507","Fernhill","Train",6
"307","1515","Figtree","Train",104
"308","1526","Fishing Point","Train",6
"309","1530","Five Dock","Train",81
"310","1533","Fletcher (NSW)","Train",9
"311","1534","Flinders (NSW)","Train",44
"312","1546","Forest Lodge","Train",48
"313","1548","Forestville (NSW)","Train",26
"314","1549","Forresters Beach","Train",20
"315","1554","Fountaindale","Train",21
"316","1564","Freemans Reach","Train",13
"317","1582","Galston","Train",31
"318","1587","Garden Suburb","Train",5
"319","1601","Georges Hall","Train",144
"320","1603","Georgetown (NSW)","Train",7
"321","1606","Gerringong","Train",14
"322","1607","Gerroa","Train",5
"323","1608","Geurie","Train",4
"324","1617","Gilead","Train",3
"325","1636","Girraween (NSW)","Train",536
"326","1641","Glebe (NSW)","Train",138
"327","1645","Glen Alpine","Train",181
"328","1656","Glenbrook","Train",274
"329","1659","Glendenning","Train",162
"330","1664","Glenfield (NSW)","Train",1026
"331","1667","Glenhaven","Train",33
"332","1670","Glenmore Park","Train",493
"333","1672","Glenning Valley","Train",33
"334","1682","Glenwood (NSW)","Train",162
"335","1684","Glossodia","Train",11
"336","1718","Gordon (NSW)","Train",1061
"337","1721","Gorokan","Train",55
"338","1722","Gosford","Train",274
"339","1738","Granville (NSW)","Train",1518
"340","1739","Grasmere","Train",18
"341","1743","Grays Point","Train",122
"342","1753","Green Point (Central Coast - NSW)","Train",94
"343","1756","Green Valley (NSW)","Train",200
"344","1757","Greenacre","Train",412
"345","1759","Greendale (Liverpool - NSW)","Train",3
"346","1761","Greenfield Park","Train",95
"347","1764","Greenhills Beach","Train",46
"348","1770","Greenwich","Train",407
"349","1774","Gregory Hills","Train",104
"350","1781","Greystanes","Train",428
"351","1785","Grose Vale","Train",16
"352","1786","Grose Wold","Train",5
"353","1790","Guildford (NSW)","Train",993
"354","1791","Guildford West","Train",126
"355","1824","Gwandalan","Train",6
"356","1825","Gwynneville","Train",34
"357","1826","Gymea","Train",723
"358","1827","Gymea Bay","Train",339
"359","1828","Haberfield","Train",160
"360","1830","Halekulani","Train",7
"361","1838","Hamilton (NSW)","Train",33
"362","1839","Hamilton East","Train",3
"363","1840","Hamilton North","Train",3
"364","1841","Hamilton South","Train",10
"365","1843","Hamlyn Terrace","Train",64
"366","1844","Hammondville","Train",105
"367","1846","Hampton (NSW)","Train",3
